,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.09,1.03,0.91,1.0,0.93,1.01,0.96,0.84,1.26,1.06,1.04,0.98,1.0,0.97,0.85
e_1,0.91,1.0,0.82,1.15,1.04,1.06,1.08,1.36,1.13,0.95,1.07,1.03,1.12,0.99,1.1,1.05
f_1,0.97,1.21,1.0,1.01,0.92,0.98,0.82,1.01,1.05,0.89,0.91,0.88,0.81,0.95,0.73,0.93
c_1,1.09,0.87,1.0,1.0,1.28,0.93,0.99,0.75,0.96,0.87,0.92,0.8,1.03,0.95,0.97,1.14
b_1,1.03,0.98,1.09,0.78,1.0,1.33,1.08,0.85,0.98,1.14,0.96,1.29,0.98,0.91,1.02,1.14
a_1,1.03,0.93,1.02,1.08,0.75,1.0,1.19,1.05,1.23,1.1,1.14,1.26,1.15,1.07,1.19,1.01
h_1,0.98,0.95,1.26,1.0,0.89,0.8,1.0,0.97,1.3,0.92,0.95,0.98,1.04,1.04,0.93,1.1
d_0,1.01,0.75,0.97,1.33,1.17,0.97,1.05,1.0,0.96,0.78,0.93,0.92,1.02,0.88,1.01,1.06
g_1,1.2,0.9,0.94,1.02,1.04,0.77,0.81,1.06,1.0,0.95,1.13,1.01,0.96,1.14,1.15,0.96
c_0,0.81,1.09,1.12,1.17,0.85,0.87,1.13,1.29,1.05,1.0,1.02,1.53,1.14,1.14,1.12,1.14
f_0,1.0,0.91,1.08,1.04,1.06,0.95,1.0,1.03,0.87,0.97,1.0,0.95,1.04,0.97,1.4,0.78
b_0,0.95,0.96,1.1,1.25,0.81,0.79,1.01,1.15,0.94,0.69,1.02,1.0,1.06,1.58,1.09,0.97
h_0,1.04,0.93,1.21,0.96,1.0,0.89,0.98,1.0,1.06,0.9,0.95,0.91,1.0,0.96,0.91,1.09
a_0,0.97,1.03,1.12,1.02,1.01,0.89,1.02,1.14,0.86,0.95,0.99,0.66,1.05,1.0,1.06,0.97
e_0,1.01,0.88,1.4,1.05,0.97,0.86,1.07,0.98,0.86,0.92,0.71,0.99,1.06,0.96,1.0,0.98
g_0,1.21,0.95,1.03,0.9,0.89,0.99,0.89,0.95,1.01,0.92,1.28,1.07,0.91,1.01,0.99,1.0
