,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.4,0.86,1.06,1.38,1.02,0.87,2.0,1.61,3.68,2.07,2.29,2.07,2.49,1.8,1.5,2.21
d_1,1.02,2.45,1.2,0.88,0.93,0.88,2.06,1.87,1.59,3.62,2.52,2.25,2.47,2.2,1.88,2.52
f_1,1.69,0.92,2.42,1.0,0.89,0.79,1.61,1.69,2.2,2.14,2.12,1.64,2.84,1.87,1.48,2.55
c_1,1.04,1.1,1.1,2.51,1.73,0.71,1.83,1.69,1.91,1.48,1.37,1.52,2.57,1.76,1.58,2.29
b_1,1.01,1.06,1.1,0.99,2.57,1.61,2.13,1.89,2.19,2.07,1.29,1.92,2.62,1.35,1.52,2.26
a_1,0.99,1.2,1.13,1.1,1.01,3.08,1.8,2.13,2.19,2.38,2.41,2.27,2.72,1.61,1.86,2.34
h_1,1.04,1.21,1.52,1.12,0.95,0.94,3.53,2.58,2.21,2.25,2.34,2.11,2.46,1.86,1.92,3.06
g_1,1.01,1.68,1.08,1.09,1.0,0.84,1.81,3.64,1.83,2.57,2.29,3.1,2.88,2.04,2.16,1.97
d_0,1.07,0.93,1.17,1.96,1.13,0.76,1.95,2.12,3.25,1.65,2.22,2.15,2.97,1.9,1.91,2.34
c_0,1.1,1.23,1.2,0.91,0.88,0.95,2.21,2.16,2.31,3.37,4.18,2.72,3.0,2.63,2.33,2.54
b_0,0.98,1.23,1.24,1.19,0.94,0.93,2.1,2.2,2.35,2.3,3.56,2.83,3.01,3.79,2.22,2.81
f_0,0.94,1.29,1.1,1.28,1.02,0.87,2.45,2.35,2.62,2.26,2.25,3.62,3.16,2.19,4.23,2.53
h_0,1.08,1.3,1.61,1.14,1.12,0.74,1.58,2.29,2.24,2.23,2.29,1.97,2.32,2.22,2.01,3.29
a_0,1.16,1.08,1.26,1.23,1.17,0.59,2.28,2.31,2.3,2.28,2.66,2.57,3.2,3.68,2.04,2.73
e_0,0.98,1.39,1.32,1.23,1.08,0.67,2.31,2.0,2.39,2.38,2.43,2.18,3.41,2.31,3.88,2.87
g_0,0.98,1.54,1.21,1.15,1.06,0.88,2.19,1.69,2.13,2.46,2.37,3.15,3.35,2.31,2.57,2.45
