,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,5.52,1.71,1.99,1.26,1.51,1.33,5.74,12.46,6.37,8.7,5.17,7.43,11.28,8.01,3.91,10.84
f_1,2.63,5.53,1.5,1.49,1.46,1.16,4.71,6.45,6.2,5.81,4.7,3.18,9.34,8.2,5.7,9.38
c_1,1.37,1.45,6.39,1.58,2.88,1.52,6.1,6.71,2.31,4.15,4.64,5.7,9.38,5.61,8.7,10.57
d_1,1.61,1.59,0.99,6.9,1.39,1.58,6.0,3.22,14.07,10.01,7.06,8.59,11.99,7.84,8.54,12.65
b_1,1.23,1.59,1.63,1.61,7.65,3.24,5.0,7.35,6.58,3.53,4.26,7.08,9.87,6.11,7.18,9.13
a_1,1.29,1.71,1.66,1.57,1.38,10.98,5.99,7.1,9.01,8.07,5.52,7.7,14.88,3.83,8.95,10.35
h_1,1.7,2.62,1.97,1.79,1.69,1.74,16.93,6.42,9.44,9.39,9.18,10.28,7.07,7.83,10.0,16.59
d_0,1.94,1.63,3.81,0.92,1.86,1.64,6.92,15.36,6.32,9.02,6.6,9.32,12.23,8.99,9.33,14.34
c_0,2.17,2.01,1.07,2.15,1.5,1.73,6.93,8.44,17.98,17.3,8.24,10.16,14.64,11.3,9.56,12.89
b_0,2.24,2.21,1.93,1.7,0.81,1.24,7.64,9.28,10.97,21.51,8.09,9.19,13.93,21.92,9.14,15.14
g_1,1.76,1.76,1.77,2.74,1.7,1.64,8.29,5.93,9.41,10.14,26.17,14.73,12.83,10.39,9.81,9.17
f_0,1.31,1.38,2.23,2.3,1.62,2.01,7.87,9.02,9.48,10.21,10.17,24.49,17.12,9.37,23.56,16.4
h_0,1.69,2.48,1.98,2.08,1.59,1.79,4.59,7.44,9.16,9.33,12.11,8.96,10.35,8.64,9.96,17.65
a_0,2.14,1.99,2.08,2.02,1.44,0.94,7.99,9.7,8.63,9.25,10.51,9.64,13.19,24.77,10.45,14.71
e_0,0.98,2.24,1.81,2.82,1.97,1.75,6.56,7.27,9.12,8.76,10.2,9.91,16.61,9.59,26.63,14.54
g_0,1.36,1.58,2.06,3.24,1.91,1.59,7.51,6.64,9.7,8.15,4.58,16.4,14.08,8.32,11.26,11.34
