,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,4.04,0.44,0.31,0.46,0.3,0.36,0.81,0.82,0.73,1.52,0.87,0.73,0.84,1.09,0.24,0.8
f_1,0.72,4.02,0.38,0.32,0.37,0.4,0.74,0.61,0.82,0.78,0.75,0.22,0.99,0.83,0.7,0.67
d_1,0.34,0.41,4.17,0.34,0.41,0.37,0.85,0.71,1.64,0.15,1.0,0.87,0.7,0.81,0.69,0.98
c_1,0.38,0.32,0.45,4.23,0.76,0.37,0.72,0.6,0.12,0.8,0.58,0.91,0.62,0.65,0.94,0.78
b_1,0.37,0.43,0.41,0.36,4.56,0.7,0.63,0.73,0.72,0.72,0.27,0.83,0.69,1.02,1.04,0.84
a_1,0.39,0.34,0.41,0.42,0.4,6.91,0.82,0.84,0.68,0.82,0.7,0.89,0.15,0.83,0.76,0.92
h_1,0.54,0.91,0.73,0.79,0.6,0.58,4.76,1.4,1.29,1.43,1.64,1.33,1.28,0.68,1.3,2.1
g_1,0.53,0.57,1.02,0.88,0.64,0.41,1.39,6.38,1.17,1.25,1.43,2.31,1.33,1.58,1.45,0.55
c_0,0.7,0.84,0.84,0.35,0.64,0.52,1.19,1.49,3.94,1.26,2.82,1.68,2.15,1.95,1.62,1.96
d_0,0.72,0.92,0.14,1.38,0.61,0.66,1.29,1.09,1.0,4.03,1.27,1.35,1.01,1.26,1.15,1.15
b_0,0.6,1.01,0.75,0.8,0.16,0.54,1.2,1.36,1.8,1.33,4.57,1.6,3.5,2.07,1.43,1.78
f_0,0.68,0.26,0.79,0.79,0.75,0.74,1.32,1.53,1.44,1.26,1.76,4.94,1.24,1.48,3.55,1.57
a_0,0.69,0.78,0.75,0.98,0.57,0.29,1.45,1.29,1.33,1.69,1.56,1.18,6.27,1.63,1.52,2.24
h_0,0.73,1.06,0.69,0.65,0.56,0.56,0.63,1.86,1.57,1.5,1.41,1.21,1.48,0.46,1.16,1.96
e_0,0.24,0.71,0.91,0.55,0.85,0.8,1.2,1.63,1.96,1.55,1.87,1.4,1.86,1.99,6.34,1.94
g_0,0.51,0.64,1.03,0.83,0.65,0.67,1.09,0.74,1.33,1.1,1.3,2.48,1.07,1.62,2.11,0.66
