,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,22.89,0.66,0.32,0.39,0.3,0.26,0.72,0.68,0.87,0.74,0.64,0.15,0.82,0.53,0.62,0.55
e_1,0.4,22.75,0.29,0.4,0.27,0.27,0.76,0.66,0.74,1.76,0.9,0.84,0.85,0.88,0.71,0.19
d_1,0.36,0.27,26.29,0.28,0.32,0.42,0.77,0.81,1.74,0.17,0.83,0.92,0.99,0.82,0.89,0.71
c_1,0.32,0.31,0.32,27.44,0.77,0.29,0.66,0.74,0.15,0.79,0.63,0.9,0.89,0.87,0.76,0.8
b_1,0.32,0.4,0.4,0.34,34.76,0.76,0.54,0.75,0.48,0.6,0.19,0.72,0.84,0.67,0.86,0.75
a_1,0.24,0.35,0.49,0.28,0.37,49.73,0.73,0.46,0.6,0.69,0.86,0.82,1.14,0.25,1.12,1.04
h_1,0.89,0.5,0.58,0.6,0.65,0.63,9.23,1.86,1.38,1.48,1.66,1.53,0.65,1.1,2.09,1.39
g_1,0.72,0.46,0.99,0.66,0.55,0.64,1.28,11.92,1.17,0.95,1.72,1.88,1.24,1.53,0.43,1.82
c_0,0.7,0.63,0.7,0.25,0.59,0.78,1.95,1.46,5.89,0.96,3.68,1.99,1.62,1.25,2.19,2.01
d_0,0.56,0.61,0.16,1.71,0.57,0.72,1.35,1.06,1.33,5.34,1.33,1.64,1.33,1.14,1.69,1.64
b_0,0.8,0.63,0.69,0.71,0.23,0.38,1.82,1.46,1.47,1.6,6.72,1.36,1.66,4.07,2.33,1.5
f_0,0.23,0.47,0.78,0.64,0.8,0.75,1.53,1.71,1.85,1.82,1.81,7.32,1.78,1.71,1.63,4.62
h_0,1.16,0.54,0.75,0.61,0.51,0.59,0.5,1.39,1.48,1.4,1.65,1.54,0.43,1.71,2.66,1.7
a_0,0.87,0.44,0.71,0.71,0.66,,1.83,1.39,1.43,1.76,1.14,1.84,1.84,9.21,2.07,2.57
g_0,0.48,0.46,1.29,0.72,0.43,0.85,1.17,0.57,1.53,1.29,1.68,2.46,1.5,1.62,0.65,1.39
e_0,0.74,0.26,0.53,0.71,0.89,0.78,1.3,1.38,1.61,1.66,1.81,1.9,2.18,2.08,1.97,10.78
