,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.46,2.24,4.8,3.91,4.54,3.88,1.46,0.86,1.66,0.98,1.01,1.08,0.56,0.85,3.72,0.74
f_1,4.04,0.44,4.26,4.35,4.15,5.2,0.82,1.0,1.36,0.75,0.84,4.4,0.42,0.82,0.79,0.59
d_1,4.43,4.18,0.43,4.67,4.25,4.59,1.31,1.03,0.9,3.64,0.81,0.88,0.63,0.82,1.02,0.42
c_1,4.72,5.41,4.57,0.4,4.65,4.57,1.37,4.87,1.55,0.52,1.16,0.92,0.66,1.04,1.04,0.69
b_1,5.29,6.27,5.83,2.77,0.37,6.17,1.73,1.16,1.05,1.18,2.51,0.99,0.68,1.03,1.22,0.86
a_1,6.29,5.5,5.02,7.29,3.05,0.34,1.93,1.32,1.39,1.37,1.71,1.07,1.33,,1.13,1.26
h_1,4.79,5.73,4.9,5.72,4.69,4.37,0.36,0.83,1.52,1.25,1.06,1.03,1.71,1.06,0.79,0.98
c_0,5.58,6.65,2.68,20.71,6.31,6.07,1.6,0.44,1.76,1.13,0.99,1.04,1.04,1.19,1.04,0.8
g_1,6.74,8.58,4.88,5.3,7.44,4.81,1.01,1.0,0.31,1.11,0.96,0.97,0.64,1.4,0.94,1.85
d_0,2.7,6.67,15.24,6.27,6.33,7.85,1.65,1.33,1.9,0.46,1.29,0.89,0.96,1.04,1.23,0.79
b_0,5.62,5.43,5.95,6.9,33.26,4.48,1.6,0.59,1.54,1.11,0.42,1.08,0.77,1.25,1.04,0.72
f_0,6.39,28.99,6.09,5.75,5.38,4.54,1.5,1.11,1.19,1.17,1.01,0.39,0.89,1.64,1.1,0.67
h_0,5.81,7.2,6.65,7.03,6.53,6.63,4.04,1.21,2.41,1.3,1.67,1.32,3.71,1.24,1.06,0.96
a_0,6.83,7.47,7.69,8.86,8.21,,2.24,1.01,2.21,1.57,0.6,1.26,1.28,0.36,1.11,0.93
e_0,17.43,10.05,6.46,7.9,8.02,5.48,1.59,1.22,2.16,1.52,1.15,0.68,1.14,1.17,0.33,0.84
g_0,6.58,8.32,8.89,6.68,7.79,7.1,1.73,1.28,7.44,1.21,1.39,1.43,0.92,1.53,1.35,2.08
