,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,22.51,0.71,0.33,0.31,0.33,0.28,0.8,0.78,0.81,0.66,0.62,0.16,0.7,0.47,0.7,0.82
e_1,0.32,23.85,0.4,0.36,0.22,0.36,0.76,1.51,0.65,0.59,1.04,0.85,0.95,0.22,0.92,0.88
c_1,0.35,0.27,27.75,0.29,0.76,0.34,0.71,0.79,0.15,0.73,0.56,0.84,0.93,0.99,0.72,0.78
d_1,0.46,0.36,0.24,28.87,0.35,0.27,0.63,0.15,1.47,0.7,0.84,0.91,1.09,0.81,0.92,0.94
b_1,0.33,0.24,0.38,0.37,31.6,0.91,0.7,0.67,0.68,0.58,0.11,0.77,0.84,0.93,0.53,0.66
a_1,0.31,0.26,0.29,0.33,0.41,46.02,0.91,0.86,0.97,1.13,0.84,0.84,0.77,0.73,0.14,0.86
h_1,1.01,0.53,0.48,0.76,0.6,0.53,10.01,1.14,1.28,1.73,1.65,1.51,0.6,1.8,1.34,2.28
d_0,0.58,0.64,1.59,0.22,0.62,0.52,0.96,5.02,1.52,1.22,1.82,1.7,1.95,2.03,1.41,1.64
c_0,0.59,0.76,0.26,0.73,0.59,0.66,1.86,1.33,6.14,1.53,3.78,1.91,1.85,1.27,1.76,2.15
g_1,0.52,0.51,0.8,1.13,0.51,0.57,0.97,1.18,1.48,12.92,1.32,2.81,1.56,1.76,1.27,0.29
b_0,0.85,0.65,0.77,0.6,0.17,0.32,1.71,1.48,1.77,1.48,7.96,1.54,1.99,1.82,4.14,1.85
f_0,0.25,0.56,0.91,0.94,0.59,0.55,1.66,1.53,1.32,1.4,1.77,7.2,1.36,5.19,1.61,1.58
h_0,1.02,0.53,0.72,0.66,0.51,0.66,0.34,1.75,1.84,1.86,1.84,1.25,0.71,1.25,1.7,2.33
e_0,0.74,0.15,0.68,1.05,0.72,0.65,1.53,1.91,1.65,1.32,1.18,2.01,1.55,8.69,2.15,2.13
a_0,0.83,0.63,0.75,0.81,0.62,,1.36,1.85,1.94,1.12,1.74,1.47,1.76,1.9,10.19,1.92
g_0,0.49,0.5,0.66,1.37,0.56,0.64,1.09,1.35,1.76,0.74,1.73,2.31,1.25,1.35,1.33,
