,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,0.86,0.83,0.77,0.8,0.74,0.36,0.36,0.35,0.48,0.37,0.42,0.31,0.24,0.3,0.35
c_1,0.78,0.4,0.64,0.94,1.16,0.79,0.37,0.24,0.44,0.44,0.3,0.31,0.36,0.29,0.36,0.33
e_1,0.59,0.95,0.4,0.84,0.72,0.79,0.49,0.46,0.37,0.46,0.38,0.45,0.33,0.36,0.51,0.36
b_1,0.95,0.5,0.8,0.38,0.86,0.99,0.5,0.35,0.47,0.52,0.51,0.38,0.39,0.31,0.37,0.31
d_1,0.81,0.74,1.04,0.79,0.38,0.7,0.41,0.55,0.41,0.28,0.37,0.4,0.44,0.35,0.34,0.21
a_1,0.88,0.91,0.93,0.51,0.78,0.31,0.5,0.42,0.36,0.5,0.46,0.36,0.58,0.32,0.41,0.34
h_1,0.8,0.83,0.61,0.66,0.73,0.65,0.24,0.33,0.34,0.49,0.34,0.31,0.3,0.41,0.3,0.27
d_0,0.79,0.83,0.46,0.8,0.93,0.77,0.4,0.25,0.3,0.4,0.26,0.3,0.3,0.24,0.37,0.28
c_0,0.74,1.29,0.73,0.7,0.45,0.72,0.43,0.48,0.24,0.38,0.36,0.31,0.39,0.3,0.34,0.28
g_1,0.67,0.73,0.76,0.66,0.83,0.72,0.3,0.35,0.35,0.22,0.33,0.37,0.34,0.22,0.32,0.35
b_0,0.66,1.15,0.69,0.92,0.59,0.63,0.37,0.46,0.21,0.37,0.23,0.29,0.38,0.27,0.31,0.28
f_0,1.12,0.86,0.69,0.7,0.53,0.65,0.43,0.33,0.28,0.27,0.34,0.22,0.32,0.29,0.35,0.19
a_0,0.79,0.86,0.72,0.85,0.64,0.95,0.41,0.35,0.24,0.41,0.18,0.3,0.2,0.29,0.29,0.24
h_0,0.72,0.76,0.66,0.77,0.66,0.74,0.41,0.32,0.29,0.39,0.31,0.3,0.28,0.35,0.33,0.27
e_0,0.83,0.75,1.1,0.64,0.63,0.66,0.44,0.31,0.3,0.36,0.3,0.2,0.3,0.26,0.19,0.22
g_0,0.68,0.7,0.65,0.75,0.75,0.68,0.34,0.35,0.31,0.48,0.27,0.35,0.35,0.24,0.3,0.34
