,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,1.12,0.72,0.72,0.65,0.5,0.75,0.71,0.85,0.81,0.84,0.57,0.87,0.72,0.5,0.83
e_1,0.73,1.52,0.94,0.65,0.71,0.52,0.87,0.91,1.42,0.9,0.9,0.86,0.9,0.76,0.51,0.93
c_1,0.76,0.61,1.55,0.87,1.08,0.61,0.81,0.78,0.76,0.43,0.71,0.76,0.98,0.7,0.79,0.82
d_1,0.84,0.77,0.62,1.56,0.76,0.57,0.89,0.72,0.56,1.39,1.04,0.87,0.99,0.81,0.81,0.75
b_1,0.81,0.73,0.69,0.71,1.6,1.09,0.93,0.82,0.96,0.99,0.5,0.88,0.89,0.7,0.82,0.94
a_1,0.9,0.96,0.75,0.98,0.57,1.76,1.07,0.85,0.82,0.93,0.95,0.86,0.95,0.49,0.73,0.72
h_1,1.24,0.95,0.99,1.03,0.88,0.64,1.75,1.27,1.09,1.09,1.08,0.97,1.02,0.96,0.93,1.66
g_1,0.99,0.72,1.05,1.46,0.93,0.81,1.06,1.84,1.08,1.21,1.17,1.65,1.15,1.23,1.23,0.95
d_0,0.99,0.86,1.73,0.75,0.92,0.84,1.18,1.0,1.59,0.93,1.25,1.07,1.35,0.96,1.03,1.38
c_0,1.26,1.0,0.9,0.94,0.78,0.94,1.34,0.95,1.32,1.61,1.89,1.13,1.4,1.25,1.21,1.14
b_0,1.18,1.11,1.2,0.98,0.75,0.74,1.16,1.12,1.17,1.04,1.7,1.13,1.5,1.82,1.11,1.41
f_0,0.93,0.83,1.28,1.04,0.96,0.98,1.44,1.07,1.38,1.33,1.08,1.74,1.46,0.86,2.0,1.27
h_0,1.48,1.11,1.08,1.08,0.99,0.82,0.84,1.44,1.13,1.09,1.1,1.17,1.13,1.06,0.84,1.61
a_0,1.26,1.19,1.17,1.04,1.07,0.81,1.3,0.89,1.02,1.09,1.02,1.18,1.45,1.76,0.73,1.27
e_0,1.39,0.8,1.13,1.01,1.04,1.05,1.38,1.26,1.44,1.16,1.2,1.14,1.83,1.25,1.84,1.29
g_0,1.04,1.02,1.19,1.52,0.94,0.97,1.05,1.11,1.14,1.26,1.04,1.68,1.33,1.12,1.15,1.02
