,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,3.81,0.74,0.38,0.38,0.35,0.33,0.67,0.78,0.7,0.54,0.78,0.21,0.73,0.85,0.83,0.93
e_1,0.38,3.86,0.32,0.51,0.35,0.31,0.82,1.51,0.67,0.87,0.77,0.87,0.77,0.83,0.91,0.19
d_1,0.45,0.35,4.14,0.28,0.41,0.46,0.72,0.21,0.67,1.58,0.87,0.8,1.11,0.6,0.87,0.76
c_1,0.4,0.34,0.36,4.28,0.75,0.43,0.63,0.72,0.81,0.13,0.56,0.94,1.13,0.88,0.85,0.89
b_1,0.36,0.34,0.43,0.46,5.0,0.68,0.72,0.69,0.79,0.67,0.15,0.78,0.78,0.53,0.96,0.86
a_1,0.4,0.39,0.45,0.41,0.31,7.29,0.87,0.84,0.81,0.84,0.93,0.72,0.98,0.16,0.68,0.77
h_1,1.0,0.52,0.71,0.76,0.55,0.56,4.75,1.42,1.52,1.32,1.36,1.05,0.66,1.32,1.88,1.56
d_0,0.78,0.87,0.19,1.33,0.51,0.55,1.45,3.79,0.97,1.34,1.18,1.59,1.53,1.39,1.73,1.43
g_1,0.76,0.5,1.19,0.52,0.55,0.67,1.26,1.08,6.41,1.23,1.68,2.41,1.36,1.25,0.5,1.22
c_0,0.78,0.78,0.89,0.29,0.52,0.64,1.36,1.29,1.08,4.01,3.28,1.83,1.44,2.25,1.53,1.52
b_0,0.7,0.8,0.65,0.7,0.25,0.52,1.64,1.77,1.42,1.95,4.39,1.86,1.55,3.5,1.63,1.61
f_0,0.3,0.64,0.89,0.68,0.85,0.58,1.68,1.67,1.28,1.76,1.86,4.43,1.64,1.8,1.5,2.72
h_0,0.99,0.64,0.71,0.74,0.76,0.52,0.37,0.99,1.62,1.19,1.67,1.53,0.47,1.34,2.09,1.12
a_0,0.72,0.72,0.74,0.76,0.7,0.32,1.19,1.7,1.56,1.64,1.71,1.88,1.77,5.87,1.68,1.66
g_0,0.47,0.58,1.07,0.87,0.64,0.8,0.98,1.17,0.57,1.4,1.7,2.08,1.64,1.36,0.69,1.34
e_0,0.83,0.2,0.85,0.61,0.81,0.7,1.79,1.3,1.4,1.34,2.2,1.7,1.54,1.53,1.16,7.04
