,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.93,0.14,0.09,0.1,0.1,0.07,0.08,0.07,0.09,0.06,,0.06,0.06,0.04,0.04,0.04
e_1,0.1,0.93,0.12,0.1,0.08,0.08,0.07,0.04,0.1,0.06,0.07,0.06,0.06,,0.04,0.05
c_1,0.11,0.1,0.93,0.09,0.14,0.06,0.07,0.07,0.05,,0.06,0.04,0.08,0.05,0.04,0.07
d_1,0.11,0.11,0.11,0.93,0.1,,0.07,0.05,,0.12,0.05,0.06,0.08,0.04,0.04,0.04
b_1,0.11,0.12,0.1,0.09,0.93,0.12,0.09,0.06,0.08,0.07,0.07,,0.06,0.04,0.04,0.04
a_1,0.13,0.12,0.13,,0.08,0.93,0.08,0.06,0.08,,0.09,0.07,0.07,,,
h_1,0.34,0.31,0.29,0.27,0.22,0.19,0.71,0.22,0.18,0.18,0.2,0.13,,0.14,0.1,0.16
g_1,0.29,0.33,0.24,0.4,0.27,0.19,0.18,0.71,0.22,0.16,0.34,0.2,0.11,0.11,0.11,
d_0,0.36,0.32,0.55,,0.29,0.22,0.29,0.17,0.56,0.22,0.2,0.2,0.23,0.12,0.22,0.17
c_0,0.48,0.38,,0.28,0.22,,0.21,0.22,0.23,0.58,0.23,0.35,0.23,0.14,0.13,0.19
f_0,,0.35,0.41,0.45,0.29,0.2,0.2,0.12,0.27,0.23,0.58,0.18,0.26,0.29,,0.17
b_0,0.35,0.37,0.43,0.37,,0.21,0.26,0.21,0.24,0.19,0.21,0.57,0.33,,0.28,0.15
h_0,0.54,0.44,0.41,0.47,0.45,0.28,,0.45,0.29,0.28,0.25,0.19,,0.25,0.26,0.31
e_0,0.45,,0.33,0.39,0.41,,0.26,0.25,0.32,0.32,0.18,,0.15,0.57,0.21,0.24
a_0,0.33,0.5,0.44,0.52,0.28,,0.27,0.22,0.22,0.22,,0.18,0.26,0.18,0.57,0.27
g_0,0.56,0.49,0.41,0.7,0.49,,0.31,,0.31,0.29,0.38,0.3,0.26,0.24,0.18,
