,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.98,1.45,1.79,3.4,16.79,25.56,31.37,32.95,40.95,46.63,73.2,89.97,76.79,165.85
e_1,0.78,1.0,0.98,1.63,2.0,3.78,20.24,26.5,41.51,33.81,51.11,52.5,87.11,95.41,102.99,171.94
d_1,1.01,1.03,1.0,1.19,1.67,3.1,17.99,19.88,33.15,42.89,39.43,44.72,81.24,81.66,89.11,125.71
c_1,0.68,0.62,0.83,1.0,1.88,2.77,13.73,17.39,14.58,19.55,29.33,25.54,55.88,60.47,66.05,101.36
b_1,0.56,0.49,0.6,0.54,1.0,3.09,11.59,14.5,15.31,19.5,20.33,24.17,49.75,39.47,48.21,80.02
a_1,0.29,0.27,0.32,0.36,0.32,1.0,5.48,7.35,6.66,10.16,11.77,15.56,24.62,20.83,22.35,42.4
h_1,0.06,0.05,0.05,0.07,0.09,0.18,1.0,1.44,1.55,1.46,1.97,2.17,4.15,3.83,4.03,9.58
g_1,0.04,0.04,0.05,0.06,0.07,0.13,0.71,1.0,1.09,1.42,1.98,1.74,2.69,3.71,3.6,5.92
d_0,0.03,0.02,0.03,0.07,0.07,0.16,0.65,0.91,1.0,0.94,1.46,1.37,2.65,3.05,2.62,5.58
c_0,0.03,0.03,0.02,0.05,0.05,0.1,0.68,0.72,1.07,1.0,1.14,1.98,2.44,2.94,2.73,4.46
f_0,0.02,0.02,0.02,0.03,0.05,0.09,0.53,0.52,0.68,0.84,1.0,0.97,1.99,1.94,2.93,3.2
b_0,0.02,0.02,0.02,0.04,0.04,0.06,0.45,0.55,0.69,0.52,0.97,1.0,1.88,2.99,1.93,3.59
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.38,0.37,0.4,0.51,0.54,1.0,1.09,0.97,2.05
a_0,0.01,0.01,0.01,0.02,0.03,0.04,0.26,0.26,0.32,0.35,0.49,0.36,0.91,1.0,1.11,1.79
e_0,0.01,0.01,0.01,0.02,0.02,0.05,0.25,0.26,0.38,0.35,0.34,0.53,1.08,0.94,1.0,1.48
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.17,0.18,0.23,0.31,0.28,0.49,0.55,0.66,1.0
