,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.45,2.13,1.46,1.54,1.33,1.21,2.53,3.09,2.92,2.97,2.4,3.1,2.95,3.89,2.53,4.09
e_1,1.37,2.44,1.23,1.93,1.53,1.43,2.94,5.22,2.96,3.06,3.47,3.25,3.54,4.22,2.94,3.97
d_1,1.63,1.65,2.57,1.18,1.26,1.58,3.02,2.64,2.45,5.1,3.42,3.66,3.27,4.02,3.5,3.74
c_1,1.4,1.18,1.59,2.61,2.36,1.54,2.62,2.8,2.89,2.16,3.24,2.51,3.23,3.73,3.45,4.02
b_1,1.55,1.37,1.57,1.22,2.74,2.62,2.72,2.97,2.7,2.93,3.46,2.33,2.93,4.19,3.41,4.26
a_1,1.74,1.6,1.52,1.47,1.19,3.33,3.2,3.56,3.08,3.36,3.4,4.07,3.37,4.24,3.2,3.78
h_1,1.9,1.48,1.63,1.59,1.47,1.31,4.12,2.96,3.7,3.24,3.36,3.15,3.38,3.87,3.25,5.27
d_0,1.62,1.18,1.33,2.52,1.73,1.3,3.16,4.17,2.93,2.61,2.96,3.54,3.39,4.45,3.71,4.64
g_1,1.39,1.4,2.29,1.53,1.37,1.4,2.7,3.13,4.7,3.24,4.15,3.5,3.76,3.83,3.81,3.88
c_0,1.87,1.54,1.48,1.36,1.36,1.35,3.4,3.3,3.46,4.37,3.56,5.5,4.65,4.64,3.91,4.59
f_0,1.31,1.38,1.71,1.73,1.62,1.52,3.28,3.47,3.15,3.35,4.61,3.98,4.25,4.39,6.8,3.79
b_0,1.71,1.54,1.71,1.72,1.43,1.13,3.17,3.13,3.02,3.02,3.23,4.71,6.62,4.48,3.61,4.1
a_0,1.73,1.54,1.74,1.55,1.64,1.03,3.44,3.38,3.0,3.49,3.46,3.05,5.15,4.54,3.8,4.73
h_0,1.99,1.42,1.73,1.71,1.43,1.46,2.37,3.06,3.64,3.07,3.11,3.32,3.23,3.57,3.42,5.12
e_0,1.62,1.16,1.65,1.78,1.81,1.59,3.06,2.94,3.34,3.31,2.95,3.5,3.98,4.86,5.23,4.25
g_0,1.39,1.37,2.13,1.6,1.34,1.5,2.94,2.99,2.46,3.32,5.36,3.52,3.38,3.94,4.47,3.83
