,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.42,0.6,0.99,0.94,1.0,0.84,0.28,0.21,0.29,0.19,0.22,0.19,0.14,0.19,0.14,0.25
f_1,0.92,0.41,0.99,0.8,0.89,0.99,0.21,0.21,0.27,0.18,0.22,0.17,0.1,0.17,0.14,0.16
c_1,0.78,1.0,0.4,1.31,0.97,0.89,0.29,0.12,0.25,0.27,0.17,0.21,0.16,0.18,0.17,0.17
d_1,1.16,1.1,0.98,0.39,0.92,0.76,0.24,0.29,0.18,0.19,0.19,0.23,0.12,0.2,0.1,0.16
b_1,1.06,1.15,0.61,1.2,0.38,0.95,0.3,0.22,0.31,0.3,0.22,0.32,0.15,0.23,0.14,0.21
a_1,1.27,1.42,1.15,1.28,0.64,0.33,0.39,0.31,0.37,0.31,0.33,0.42,0.2,0.32,0.2,0.33
h_1,1.69,1.77,1.77,1.58,1.57,1.56,0.28,0.37,0.44,0.33,0.31,0.34,0.3,0.29,0.22,0.28
d_0,1.2,1.74,2.1,2.65,2.09,1.86,0.63,0.31,0.57,0.38,0.37,0.36,0.34,0.35,0.28,0.37
g_1,1.94,2.13,2.09,1.91,1.79,1.56,0.42,0.48,0.27,0.42,0.34,0.4,0.23,0.33,0.32,0.33
c_0,2.18,2.03,3.36,1.26,2.07,1.84,0.59,0.67,0.52,0.29,0.38,0.4,0.28,0.41,0.24,0.4
f_0,2.05,2.83,2.18,2.04,1.96,1.72,0.61,0.47,0.39,0.42,0.29,0.45,0.32,0.36,0.2,0.46
b_0,2.17,2.19,3.12,1.79,2.63,2.16,0.68,0.52,0.62,0.27,0.39,0.26,0.29,0.39,0.26,0.42
h_0,2.31,2.64,2.25,2.32,2.31,2.11,0.84,0.55,0.72,0.52,0.44,0.53,0.43,0.49,0.35,0.44
a_0,2.45,2.53,2.61,2.51,2.62,3.54,0.81,0.54,0.79,0.43,0.45,0.29,0.36,0.27,0.34,0.39
g_0,2.59,2.77,2.64,2.31,2.89,2.43,0.67,0.61,0.83,0.54,0.47,0.56,0.3,0.53,0.43,0.42
e_0,3.13,3.09,3.15,2.57,2.58,2.33,0.78,0.6,0.73,0.63,0.31,0.57,0.38,0.45,0.31,0.27
