,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,24.26,0.68,0.28,0.36,0.34,0.37,0.69,0.57,0.73,0.63,0.78,0.16,0.92,0.68,0.64,0.73
e_1,0.36,25.53,0.26,0.37,0.32,0.3,0.84,0.86,0.71,1.7,0.96,0.81,1.06,0.75,0.2,0.8
d_1,0.31,0.29,27.04,0.25,0.33,0.37,0.82,1.79,0.7,0.27,0.95,1.15,0.87,0.84,1.02,0.9
c_1,0.38,0.29,0.4,28.29,0.65,0.24,0.55,0.13,0.64,0.73,0.72,1.01,0.79,0.77,0.72,0.88
b_1,0.33,0.3,0.31,0.35,29.0,0.76,0.75,0.65,0.8,0.66,0.22,0.84,0.94,0.53,0.97,0.95
a_1,0.28,0.25,0.4,0.4,0.26,47.0,1.03,1.09,0.88,0.85,0.82,0.63,1.14,0.27,0.71,0.79
h_1,0.87,0.57,0.72,0.54,0.71,0.64,9.41,1.1,1.37,1.25,1.24,1.2,0.47,1.22,1.1,2.07
c_0,0.82,0.69,0.92,0.28,0.49,0.61,1.48,5.66,0.96,1.47,3.52,1.55,1.31,1.78,2.02,1.31
g_1,0.54,0.53,1.41,0.57,0.47,0.55,1.2,1.45,12.84,1.13,1.05,2.42,1.57,1.76,1.37,0.75
d_0,0.87,0.64,0.14,1.56,0.58,0.73,1.0,1.26,1.09,5.32,1.36,1.03,1.44,1.64,1.11,1.55
b_0,0.87,0.83,0.74,0.69,0.24,0.42,0.74,1.41,1.57,1.51,6.26,1.44,1.8,4.35,1.94,1.95
f_0,0.21,0.6,0.74,0.83,0.9,0.7,1.25,1.29,1.31,1.59,1.45,6.94,1.44,1.6,3.65,1.45
h_0,1.11,0.49,0.68,0.57,0.59,0.66,0.46,1.43,1.83,1.83,1.71,1.15,0.66,1.61,1.44,2.32
a_0,0.78,0.69,0.64,0.86,0.63,,1.44,1.46,1.16,1.6,1.52,1.54,1.15,9.49,1.85,1.76
e_0,0.83,0.21,0.7,0.95,0.87,0.41,1.57,1.33,1.65,1.63,1.9,1.28,1.42,1.72,11.0,2.3
g_0,0.51,0.57,1.41,0.74,0.61,0.52,1.71,1.35,,1.36,0.89,2.66,1.09,1.51,1.45,0.71
