,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,105.36,65.7,70.5,103.65,151.94,472.7,9266.47,16352.93,35845.45,24986.48,32839.2,46914.62,83387.76,115189.72,228450.16,203864.67
f_1,85.06,110.08,81.63,89.32,142.85,524.99,8879.61,13456.28,21909.39,20355.31,30634.31,26859.1,77429.46,87862.07,239404.21,136028.73
d_1,60.42,67.51,129.13,76.1,143.6,520.07,8646.66,12756.78,15713.26,33235.93,32356.78,35985.97,73724.69,96427.34,185537.17,174720.76
c_1,53.35,63.06,74.53,141.21,219.6,395.07,7675.02,11954.27,17235.72,14853.59,21030.66,32388.37,73418.88,91422.63,193383.13,177625.95
b_1,45.24,51.46,61.9,58.34,222.91,666.28,6040.64,10026.4,13901.42,17409.36,17497.49,28080.17,57232.53,75535.6,150791.92,146702.22
a_1,30.12,35.63,40.19,55.44,61.98,601.71,5411.89,7891.51,11428.34,11684.73,17244.48,19508.07,31873.63,58830.3,112124.77,115690.76
h_1,16.12,20.13,19.48,25.08,41.66,97.65,3170.78,4455.19,5230.77,5900.35,7689.96,8998.22,19906.46,22583.99,64298.05,51352.16
g_1,12.24,12.29,23.85,19.83,31.96,111.38,1886.03,4586.15,3741.83,5226.69,6222.02,11588.57,16312.64,20335.69,39725.54,49535.46
d_0,9.65,13.08,15.47,27.6,29.99,96.78,1793.62,3003.9,5430.37,3258.08,5709.92,8389.83,14772.59,19907.9,44199.04,42499.7
c_0,11.17,14.78,15.49,16.93,23.91,99.77,1676.3,3068.57,4576.86,5837.98,9773.41,8631.34,18685.02,21992.37,39822.72,38427.42
b_0,10.29,12.47,14.73,18.49,22.44,91.22,1549.27,2683.07,3698.77,3424.02,7291.29,7472.94,23690.49,19430.88,42847.75,37181.62
f_0,7.85,10.39,15.08,16.21,25.17,89.0,1739.97,2405.69,3646.4,3826.18,5133.52,8655.35,14742.32,18887.57,30934.27,59069.9
a_0,7.45,8.81,12.99,11.89,20.09,48.76,1227.02,1906.48,2676.66,2612.15,3744.77,5080.07,14791.31,12392.24,32163.24,26385.67
h_0,7.19,10.9,11.0,11.43,18.76,60.04,976.11,2037.34,2528.92,2612.01,3682.55,4159.3,10985.5,10656.84,32657.79,23485.2
g_0,5.68,6.15,10.85,8.27,15.78,45.23,828.97,1423.96,2078.92,2423.92,2993.93,5362.7,8430.28,9891.36,19398.35,20057.76
e_0,4.45,7.84,8.16,9.85,16.3,54.69,921.68,1333.21,2045.03,2242.8,2705.45,3254.19,7697.42,9049.53,22422.18,28850.49
