,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,92.33,30.93,37.99,62.48,88.74,249.56,4828.6,22781.6,11739.19,14493.29,28241.11,36537.61,45589.12,72159.33,43637.86,138148.45
f_1,45.11,105.79,44.54,45.22,70.88,184.8,3849.32,10770.01,11215.33,16132.85,20628.93,13116.05,52512.75,65349.54,57899.51,110751.41
d_1,28.66,28.57,127.69,41.19,62.32,221.37,4931.89,5689.71,9326.05,23299.62,23304.47,27877.79,46640.7,70826.82,85370.07,104083.56
c_1,21.54,30.81,36.83,142.39,100.56,253.13,4087.54,9883.67,8848.28,4956.25,18003.16,24778.32,41926.51,65743.9,70846.72,126920.52
b_1,18.01,27.42,38.91,33.25,204.25,290.81,3527.68,10551.41,9510.54,10557.73,4066.52,25907.75,32147.51,57275.4,63050.35,64480.46
a_1,16.07,20.39,19.34,26.82,32.88,548.12,2660.32,5377.5,6301.83,8253.59,13760.69,18187.49,8692.29,30974.58,39207.58,54931.24
h_1,9.1,15.58,12.43,13.55,22.74,68.49,2923.31,3348.05,3660.08,3834.02,6149.23,8739.2,15373.03,11651.52,22775.34,40921.95
d_0,6.05,8.59,5.67,19.36,16.98,61.59,1178.92,5008.33,2895.95,2851.44,6069.78,7200.95,11805.82,17877.42,15906.23,29844.51
g_1,6.45,7.09,13.77,12.51,14.32,44.48,1126.48,2856.91,5982.57,3874.22,5181.51,10303.93,12397.41,17128.45,19418.34,20685.98
c_0,6.68,8.68,9.46,7.91,12.92,50.51,1349.8,3097.21,2739.76,5770.73,9115.94,8693.64,12034.89,17344.07,18588.79,32979.15
b_0,5.29,8.77,8.07,10.13,,43.39,1180.85,2561.31,2491.99,2291.83,7984.16,7285.55,16965.36,13514.75,13476.98,22555.92
f_0,3.6,3.7,9.81,10.73,12.24,39.27,979.49,2558.2,2090.01,2793.7,3978.4,10422.62,11317.1,13356.56,25419.63,22761.34
a_0,5.17,5.28,6.76,7.37,11.95,,756.3,1748.9,1800.94,2328.71,2137.92,4824.06,15678.63,11128.8,10576.93,14753.3
h_0,4.24,6.31,6.0,6.64,8.92,33.97,487.87,1803.92,1945.25,1976.63,3207.33,4545.08,7163.59,5523.35,10256.64,24013.04
e_0,1.61,5.09,6.3,6.06,10.46,39.98,633.67,1785.03,1746.1,2041.05,3752.74,3603.19,6083.67,11014.37,20690.01,18192.71
g_0,3.14,4.07,7.33,5.3,10.87,26.48,499.59,1148.28,781.79,1481.75,2717.31,5309.62,5474.47,6990.27,8624.05,9206.79
