,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.43,1.16,0.57,0.54,0.59,0.49,0.91,0.78,0.74,0.93,0.91,0.4,0.83,0.9,0.74,1.0
e_1,0.73,2.52,0.79,0.58,0.55,0.67,0.96,1.78,0.9,1.07,0.96,1.12,0.9,0.87,0.76,0.87
c_1,0.62,0.64,2.77,0.64,1.21,0.57,0.78,0.8,0.73,0.38,0.82,0.87,0.91,0.91,0.75,0.91
d_1,0.71,0.6,0.54,2.96,0.58,0.69,0.86,0.55,1.09,1.63,1.12,0.82,1.11,1.01,0.81,1.04
b_1,0.7,0.54,0.64,0.75,3.18,1.22,0.97,0.69,0.8,0.74,0.36,1.01,0.92,0.68,0.73,1.08
a_1,0.65,0.55,0.71,0.73,0.64,4.46,1.0,0.98,0.92,0.93,0.89,1.21,1.0,0.5,1.24,0.8
h_1,1.11,0.75,0.81,0.86,0.71,0.62,2.61,1.1,1.34,1.12,1.34,1.02,0.79,1.01,1.36,1.46
d_0,0.78,0.67,1.6,0.5,0.65,0.77,1.0,1.95,1.22,0.93,1.36,1.17,1.37,1.25,1.23,1.04
g_1,0.65,0.71,0.85,1.23,0.85,0.61,0.98,0.78,3.32,0.92,1.11,1.99,1.22,1.26,1.34,0.78
c_0,0.81,0.74,0.58,0.93,0.62,0.65,1.28,1.22,1.21,2.29,2.55,1.19,1.41,1.53,1.37,1.12
b_0,0.94,0.81,0.91,0.81,0.45,0.54,1.24,1.28,1.15,1.01,2.42,1.22,1.4,2.72,1.47,1.16
f_0,0.55,0.64,0.94,0.88,0.86,0.59,1.19,1.28,1.31,0.94,1.2,2.86,1.67,1.68,3.28,1.04
h_0,1.18,0.78,0.68,0.88,0.72,0.72,0.84,0.99,1.53,0.88,1.29,1.2,0.64,1.18,1.41,1.51
a_0,0.87,0.9,0.95,0.79,0.82,0.44,1.16,1.12,1.18,1.21,0.94,1.24,1.41,3.08,1.31,1.31
e_0,0.66,0.45,0.94,1.16,0.85,0.74,1.05,0.92,1.48,1.3,1.3,1.0,1.43,1.21,3.19,1.15
g_0,0.68,0.75,0.9,1.31,0.79,0.71,1.03,1.0,0.78,1.03,1.05,1.97,1.04,1.03,1.55,0.8
