,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.31,0.63,0.43,0.77,0.56,0.46,0.87,1.94,0.86,0.82,1.02,0.92,1.04,1.34,0.5,0.86
f_1,1.33,15.45,0.57,0.49,0.43,0.5,0.83,0.78,0.74,1.04,0.85,0.47,0.79,0.76,0.7,0.81
d_1,0.49,0.84,19.59,0.38,0.38,0.54,0.99,0.43,0.8,2.16,1.27,0.85,0.94,0.91,1.11,0.96
c_1,0.47,0.45,0.43,19.17,1.56,0.5,0.76,0.86,0.75,0.27,0.75,0.88,0.91,0.79,0.9,0.83
b_1,0.4,0.43,0.61,0.62,19.81,1.44,0.86,0.75,0.95,0.81,0.35,1.16,0.9,0.76,0.94,0.96
a_1,0.56,0.57,0.71,0.64,0.41,27.63,1.0,0.85,1.09,0.75,0.95,1.11,1.21,0.39,1.08,1.06
h_1,0.71,1.23,0.87,0.62,0.66,0.56,4.96,1.03,1.51,1.03,1.17,1.06,0.6,1.08,1.0,1.87
d_0,0.62,0.63,0.43,2.34,0.9,0.65,0.97,2.89,1.05,0.67,1.16,1.19,1.43,1.21,1.18,1.33
g_1,0.53,0.58,1.65,0.5,0.71,0.75,1.04,0.74,7.08,1.27,0.94,2.07,1.09,1.13,1.38,0.65
c_0,0.63,0.98,1.03,0.44,0.44,0.71,1.41,1.37,1.16,3.29,3.1,1.25,1.18,1.67,1.43,1.71
b_0,0.76,0.84,0.88,0.68,0.29,0.63,1.29,1.24,1.26,1.21,3.88,1.12,1.53,2.9,1.48,1.61
f_0,0.57,0.34,0.76,0.71,0.97,0.97,1.34,1.45,1.31,1.14,1.29,4.14,1.39,1.24,3.74,1.21
h_0,0.8,1.17,0.77,0.79,0.79,0.73,0.55,1.11,1.45,1.01,0.95,1.04,0.63,0.92,1.23,1.61
a_0,0.77,0.82,0.82,0.79,0.71,0.35,1.45,1.54,1.04,1.07,1.55,1.32,1.83,4.31,1.41,1.33
e_0,0.29,0.97,0.9,0.85,1.0,0.6,1.29,1.12,1.25,1.28,1.12,1.4,1.66,1.15,3.98,1.74
g_0,0.63,0.64,1.56,0.73,0.7,0.69,1.0,0.84,0.75,1.19,1.34,1.84,1.22,1.4,1.17,0.67
