,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.06,1.47,2.65,2.48,2.13,2.09,0.88,0.85,0.85,0.64,0.61,0.74,0.63,0.49,0.71,0.48
f_1,2.42,1.06,2.45,2.31,2.1,1.82,0.65,0.89,0.7,0.76,0.69,1.01,0.6,0.4,0.51,0.59
c_1,2.12,2.19,1.06,2.6,2.84,2.1,1.1,0.91,0.47,0.66,0.92,0.7,0.62,0.53,0.61,0.57
d_1,2.47,2.73,2.48,1.06,2.47,2.01,0.89,0.64,1.5,0.71,0.77,0.67,0.59,0.5,0.63,0.34
b_1,3.09,2.93,1.65,2.52,1.06,3.01,0.97,1.0,0.72,1.35,0.98,0.66,0.65,0.68,0.74,0.76
a_1,2.98,4.05,3.55,3.37,1.79,1.07,1.72,1.48,1.13,1.24,0.95,1.15,1.8,0.9,0.96,0.77
h_1,6.51,7.83,5.52,5.15,5.58,3.73,1.32,2.3,1.87,1.7,1.75,1.59,1.69,1.93,1.67,1.67
g_1,7.97,7.1,6.46,6.46,7.06,5.38,2.07,1.33,2.26,2.1,1.84,2.2,1.94,1.17,1.93,2.31
d_0,4.72,7.03,8.47,7.65,8.22,6.27,2.71,2.91,1.54,2.5,1.83,2.25,1.97,1.89,2.09,1.67
b_0,7.46,7.29,8.65,5.62,11.49,6.14,2.79,2.63,2.0,1.48,1.38,2.09,2.24,1.67,1.71,1.31
c_0,8.27,7.65,13.75,4.71,6.75,7.28,2.86,2.9,3.1,2.38,1.54,2.26,1.96,1.9,2.07,1.62
f_0,8.43,15.27,6.79,7.54,8.94,8.21,3.47,2.07,2.54,2.2,2.36,1.46,2.29,1.98,2.28,1.19
a_0,10.43,10.58,9.33,10.01,13.09,10.48,3.86,4.43,3.3,1.79,2.52,2.55,1.6,2.45,2.08,2.07
h_0,10.4,10.82,10.09,10.96,8.41,8.01,4.64,4.21,2.7,2.81,2.8,2.91,2.23,3.16,2.03,2.36
e_0,15.98,13.23,11.0,9.0,11.1,9.59,3.27,3.28,3.18,3.42,2.86,1.81,3.11,3.09,1.65,2.41
g_0,11.57,11.23,10.56,12.84,10.08,9.63,3.08,5.11,3.92,3.56,3.3,3.65,2.73,2.2,2.58,2.75
