,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,6.11,0.67,0.47,0.7,0.45,0.55,2.39,2.43,2.61,5.48,3.09,2.57,2.97,5.36,0.89,3.94
f_1,1.09,6.1,0.58,0.49,0.56,0.61,2.17,1.79,2.95,2.82,2.68,0.77,3.52,4.08,2.59,3.3
d_1,0.52,0.62,6.29,0.51,0.61,0.57,2.5,2.11,5.89,0.55,3.54,3.06,2.47,3.98,2.53,4.8
c_1,0.58,0.49,0.68,6.42,1.15,0.57,2.11,1.77,0.42,2.9,2.05,3.2,2.19,3.23,3.46,3.84
b_1,0.55,0.65,0.61,0.54,6.92,1.07,1.85,2.15,2.57,2.61,0.97,2.94,2.46,5.0,3.84,4.14
a_1,0.6,0.52,0.61,0.63,0.6,10.53,2.42,2.49,2.43,2.96,2.5,3.16,0.54,4.07,2.81,4.51
h_1,0.81,1.38,1.1,1.2,0.92,0.89,13.99,4.16,4.64,5.15,5.84,4.7,4.53,3.34,4.79,10.36
g_1,0.8,0.87,1.54,1.33,0.97,0.62,4.08,18.88,4.18,4.5,5.07,8.17,4.7,7.77,5.34,2.72
c_0,1.06,1.28,1.27,0.54,0.97,0.79,3.5,4.41,14.12,4.54,10.01,5.92,7.64,9.61,5.96,9.64
d_0,1.08,1.4,0.21,2.1,0.93,1.01,3.79,3.21,3.58,14.53,4.51,4.76,3.57,6.2,4.24,5.67
b_0,0.91,1.54,1.13,1.21,0.24,0.82,3.52,4.03,6.46,4.78,16.24,5.66,12.4,10.2,5.25,8.78
f_0,1.03,0.4,1.19,1.21,1.14,1.12,3.87,4.52,5.17,4.54,6.26,17.47,4.38,7.28,13.06,7.74
a_0,1.05,1.19,1.13,1.48,0.86,0.45,4.27,3.81,4.78,6.07,5.54,4.16,22.24,8.02,5.59,11.02
h_0,1.1,1.61,1.04,0.99,0.84,0.85,1.84,5.52,5.63,5.39,5.0,4.27,5.25,2.28,4.29,9.63
e_0,0.36,1.07,1.37,0.84,1.29,1.21,3.52,4.82,7.03,5.57,6.65,4.94,6.6,9.82,23.31,9.57
g_0,0.77,0.97,1.56,1.26,0.99,1.02,3.2,2.19,4.77,3.97,4.63,8.77,3.79,7.99,7.77,3.24
