,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.05,1.95,1.81,1.66,1.62,1.32,0.57,0.42,0.56,0.68,0.53,0.43,0.39,0.29,0.41,0.37
e_1,1.6,1.05,1.18,2.02,1.67,1.39,0.78,0.72,0.51,0.65,0.54,0.54,0.41,0.41,0.48,0.6
f_1,1.69,1.97,1.05,1.77,1.54,1.37,0.55,0.61,0.47,0.51,0.49,0.56,0.3,0.39,0.41,0.37
c_1,2.33,1.58,1.78,1.05,2.04,1.55,0.79,0.74,0.63,0.35,0.46,0.45,0.42,0.43,0.42,0.49
b_1,2.14,2.13,2.27,1.3,1.06,2.19,0.76,0.78,0.77,0.69,0.79,0.67,0.52,0.5,0.46,0.54
a_1,3.08,2.8,3.01,2.92,1.47,1.07,1.11,1.06,0.92,0.93,1.13,0.92,0.75,0.56,1.17,0.7
h_1,4.91,4.11,5.15,4.81,5.09,4.05,1.27,1.93,1.44,1.34,1.4,1.32,1.32,1.16,1.36,1.16
g_1,6.3,5.33,6.03,5.2,5.78,4.39,1.59,1.28,1.72,1.64,1.6,1.53,1.07,1.41,1.45,1.46
c_0,4.02,5.46,6.52,8.84,5.88,4.32,2.08,2.1,1.38,2.28,1.92,1.57,1.44,1.2,1.67,1.59
d_0,6.55,3.84,5.89,7.05,5.74,4.57,2.36,2.94,1.57,1.42,1.63,1.66,1.39,1.35,1.57,1.69
b_0,5.4,5.46,6.77,9.42,7.17,3.99,2.38,2.18,1.21,2.04,1.4,1.57,1.47,1.29,2.32,1.56
f_0,7.01,6.16,8.08,8.08,6.92,5.33,2.6,2.14,2.31,2.26,2.19,1.47,1.9,1.11,1.88,1.99
h_0,7.47,7.81,8.76,7.4,7.03,5.85,3.31,3.14,2.18,2.32,2.09,1.92,2.1,1.85,1.68,1.72
g_0,8.98,8.32,9.77,9.32,8.78,8.76,2.69,3.57,2.63,2.74,2.48,2.82,1.54,2.09,2.25,2.2
a_0,8.84,8.28,9.65,10.29,12.1,9.18,3.23,2.92,2.18,2.61,1.54,2.32,2.51,1.91,1.52,2.27
e_0,9.87,9.72,11.36,8.57,8.68,7.6,3.3,2.94,2.73,2.57,2.71,1.62,2.2,1.81,2.53,1.55
