,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,1.0,0.92,0.9,0.89,0.89,0.98,1.01,0.91,1.0,1.01,0.9,0.95,0.81,1.01
e_1,0.81,1.0,1.2,0.93,1.08,0.98,1.0,1.34,1.14,1.04,0.99,1.09,0.99,1.01,1.21,1.19
c_1,0.99,0.83,1.0,1.02,1.36,1.02,1.03,0.76,0.96,0.78,0.78,0.93,1.05,0.99,1.02,0.95
d_1,1.11,1.06,0.96,1.0,0.98,0.86,0.93,1.03,0.8,1.26,1.1,0.87,0.95,1.01,0.94,0.83
b_1,1.1,0.94,0.73,1.04,1.0,1.51,1.17,0.97,1.06,1.11,1.07,1.13,1.03,0.94,0.99,1.02
a_1,1.11,1.01,1.01,1.14,0.67,1.0,1.2,1.02,1.22,1.0,1.3,1.08,1.15,1.04,1.01,0.92
h_1,1.13,0.97,0.98,1.05,0.86,0.83,1.0,0.9,1.14,0.95,0.93,0.95,1.02,0.92,0.95,1.2
d_0,0.97,0.76,1.38,0.94,1.04,0.97,1.1,1.0,1.08,0.84,1.01,0.91,1.0,1.03,1.05,1.14
g_1,0.99,0.91,1.07,1.21,0.95,0.82,0.86,0.91,1.0,0.98,0.96,1.19,0.88,0.91,1.08,1.04
c_0,1.07,1.0,1.28,0.78,0.89,0.95,1.03,1.2,1.01,1.0,1.34,1.03,1.21,1.19,1.01,1.13
b_0,1.0,1.04,1.22,0.87,0.98,0.79,1.07,0.99,1.1,0.78,1.0,1.1,1.18,1.4,0.9,1.11
f_0,1.02,0.92,1.11,1.18,0.87,0.91,1.0,1.04,0.79,0.96,0.96,1.0,1.09,0.92,1.42,0.89
h_0,1.1,1.02,0.96,1.03,1.0,0.83,0.98,0.94,1.19,0.91,0.89,0.89,1.0,0.98,0.96,1.17
a_0,0.99,1.0,0.99,1.0,1.07,0.97,1.03,0.95,1.13,0.86,0.73,1.1,0.99,1.0,1.13,0.93
e_0,1.14,0.84,0.99,1.06,0.97,0.97,1.05,0.95,0.86,0.92,1.01,0.7,1.08,0.94,1.0,1.08
g_0,1.01,0.89,1.05,1.26,0.98,0.95,0.81,0.85,1.0,0.91,0.96,1.12,0.9,1.07,0.99,1.01
