,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.88,0.9,0.76,0.6,0.39,0.45,0.36,0.36,0.33,0.31,0.26,0.26,0.22,0.3
e_1,0.79,1.0,0.86,1.11,0.95,0.73,0.49,0.39,0.41,0.6,0.39,0.41,0.36,0.37,0.37,0.34
d_1,1.13,1.16,1.0,0.86,0.92,0.76,0.55,0.38,0.55,0.44,0.42,0.38,0.34,0.32,0.27,0.25
c_1,1.13,0.9,1.15,1.0,1.21,0.79,0.46,0.5,0.4,0.31,0.38,0.43,0.4,0.33,0.37,0.3
b_1,1.31,1.05,1.09,0.84,1.0,1.13,0.55,0.5,0.53,0.45,0.52,0.41,0.4,0.32,0.37,0.33
a_1,1.68,1.39,1.3,1.25,0.89,1.0,0.79,0.66,0.64,0.69,0.68,0.45,0.5,0.59,0.46,0.49
h_1,2.59,2.13,1.91,2.06,1.57,1.29,1.0,1.26,0.86,0.8,0.81,0.68,0.89,0.72,0.68,0.72
g_1,2.24,2.53,2.68,1.95,2.06,1.57,0.8,1.0,1.06,0.8,0.97,1.11,0.74,0.8,0.7,0.78
c_0,2.92,2.54,1.76,2.35,1.83,1.59,1.17,0.93,1.0,1.27,1.4,1.05,0.94,0.89,0.85,0.78
d_0,2.64,1.73,2.43,3.28,2.13,1.42,1.27,1.42,0.78,1.0,1.02,0.74,0.96,0.76,0.69,0.7
b_0,3.1,2.63,2.39,2.74,1.83,1.56,1.22,0.99,0.72,1.01,1.0,0.83,0.88,1.12,0.82,0.75
f_0,2.86,2.5,2.52,2.35,2.47,2.06,1.38,0.9,1.0,1.37,1.23,1.0,1.07,1.08,1.22,0.68
h_0,3.77,2.86,2.97,2.48,2.5,2.06,1.12,1.34,1.04,1.06,1.1,0.89,1.0,0.88,0.88,0.91
a_0,3.72,2.72,3.04,3.14,3.18,1.81,1.45,1.25,1.15,1.26,0.9,1.03,1.13,1.0,0.78,0.9
e_0,4.37,2.91,3.52,2.7,2.87,1.9,1.39,1.5,1.23,1.42,1.24,0.84,1.15,1.47,1.0,0.88
g_0,3.28,3.09,3.87,3.33,3.19,2.13,1.4,1.3,1.3,1.39,1.28,1.5,1.09,1.05,1.14,1.0
