,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.98,0.87,0.89,0.84,0.73,0.36,0.49,0.34,0.37,0.38,0.48,0.25,0.43,0.32,0.47
e_1,0.57,0.41,0.97,1.07,0.88,0.92,0.5,0.58,0.39,0.49,0.45,0.46,0.39,0.39,0.67,0.36
d_1,0.93,0.9,0.4,0.85,0.98,0.83,0.45,0.36,0.43,0.63,0.38,0.41,0.34,0.4,0.41,0.23
c_1,0.84,0.71,1.12,0.38,1.04,0.72,0.59,0.51,0.59,0.25,0.38,0.42,0.3,0.34,0.38,0.34
b_1,1.07,0.9,0.82,0.53,0.37,1.34,0.52,0.47,0.48,0.42,0.69,0.38,0.34,0.37,0.44,0.32
a_1,1.01,0.92,1.05,1.08,0.45,0.3,0.44,0.46,0.45,0.42,0.45,0.37,0.47,0.78,0.39,0.31
h_1,0.84,0.77,0.76,0.71,0.84,0.71,0.25,0.45,0.36,0.42,0.31,0.33,0.41,0.3,0.32,0.34
g_1,0.95,0.79,0.69,0.75,0.84,0.8,0.36,0.22,0.36,0.34,0.38,0.4,0.25,0.38,0.29,0.36
c_0,0.98,0.85,0.49,1.3,0.81,0.69,0.43,0.41,0.25,0.46,0.37,0.33,0.31,0.36,0.33,0.29
d_0,0.81,0.49,1.08,0.91,0.84,0.71,0.39,0.52,0.33,0.26,0.4,0.38,0.35,0.37,0.34,0.36
b_0,0.83,0.72,0.72,1.03,1.07,0.68,0.48,0.4,0.22,0.32,0.24,0.35,0.31,0.39,0.34,0.33
f_0,1.45,0.73,0.68,0.86,0.83,0.71,0.48,0.28,0.37,0.37,0.35,0.22,0.32,0.3,0.38,0.21
h_0,0.88,0.7,0.72,0.89,0.86,0.6,0.51,0.4,0.38,0.28,0.31,0.29,0.4,0.32,0.33,0.35
a_0,0.76,0.77,0.74,0.79,0.96,1.15,0.48,0.41,0.32,0.33,0.21,0.37,0.29,0.21,0.34,0.35
e_0,0.98,1.01,0.69,0.77,0.75,0.71,0.47,0.47,0.4,0.32,0.31,0.21,0.25,0.34,0.19,0.28
g_0,0.72,0.78,0.72,0.87,0.84,1.05,0.33,0.5,0.35,0.33,0.33,0.36,0.22,0.29,0.36,0.4
