,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.17,0.91,0.99,0.86,0.78,0.64,0.66,0.56,0.66,0.56,0.56,0.5,0.52,0.56,0.47
e_1,0.86,1.0,0.89,1.14,0.94,0.8,0.73,0.72,0.62,0.87,0.64,0.7,0.6,0.63,0.58,0.56
d_1,1.09,1.12,1.0,0.89,0.81,0.75,0.72,0.59,0.85,0.65,0.74,0.64,0.6,0.59,0.47,0.53
c_1,1.01,0.87,1.12,1.0,1.31,0.88,0.74,0.67,0.59,0.5,0.57,0.63,0.6,0.6,0.55,0.56
b_1,1.15,1.05,1.2,0.79,1.0,1.28,0.76,0.71,0.81,0.64,0.72,0.64,0.71,0.57,0.73,0.64
a_1,1.29,1.22,1.29,1.1,0.8,1.0,0.87,0.78,0.82,0.72,0.94,0.71,0.77,0.66,0.75,0.68
h_1,1.58,1.4,1.46,1.38,1.3,1.11,1.0,1.08,0.83,0.9,0.88,0.87,0.86,0.73,0.92,0.8
g_1,1.53,1.41,1.68,1.46,1.42,1.27,0.89,1.0,0.96,0.86,0.9,1.08,0.8,0.82,0.77,0.96
c_0,1.81,1.66,1.19,1.66,1.3,1.23,1.19,1.08,1.0,1.1,1.32,1.02,0.98,1.01,0.85,0.91
d_0,1.5,1.18,1.5,2.05,1.51,1.29,1.1,1.11,0.91,1.0,0.92,1.01,0.95,0.78,0.84,0.86
b_0,1.75,1.61,1.27,1.83,1.35,1.07,1.17,1.14,0.76,1.14,1.0,1.02,0.99,1.4,0.91,0.9
f_0,1.74,1.47,1.6,1.6,1.6,1.42,1.19,0.95,0.97,1.02,1.01,1.0,0.93,0.91,0.71,1.23
h_0,1.97,1.67,1.66,1.68,1.37,1.33,1.22,1.26,1.04,1.06,0.97,1.04,1.0,0.94,1.04,0.85
a_0,1.86,1.61,1.65,1.71,1.89,1.45,1.33,1.15,1.02,1.24,0.76,1.14,1.04,1.0,0.96,1.07
g_0,1.84,1.73,2.1,1.82,1.42,1.25,1.08,1.3,1.13,1.18,1.13,1.39,0.98,1.06,1.0,0.99
e_0,2.1,1.83,1.74,1.72,1.62,1.54,1.24,1.02,1.02,1.17,1.12,0.84,1.13,1.01,1.05,1.0
