,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,0.86,1.08,1.04,0.81,0.67,0.93,0.71,0.6,0.69,0.77,0.51,0.58,0.62,0.6
f_1,1.25,1.0,0.98,0.96,0.82,0.71,0.56,0.61,0.72,0.6,0.54,0.53,0.62,0.5,0.48,0.54
d_1,1.16,1.03,1.0,0.89,0.84,0.88,0.77,0.66,0.56,0.85,0.72,0.57,0.62,0.6,0.6,0.48
c_1,0.92,1.04,1.13,1.0,1.27,0.82,0.78,0.47,0.61,0.52,0.54,0.58,0.54,0.63,0.55,0.62
b_1,0.97,1.21,1.19,0.78,1.0,1.27,0.75,0.71,0.74,0.76,0.59,0.67,0.56,0.65,0.66,0.5
a_1,1.24,1.38,1.12,1.23,0.8,1.0,0.95,0.71,0.86,0.8,0.88,0.73,0.64,0.74,0.6,0.71
h_1,1.47,1.75,1.35,1.33,1.37,1.01,1.0,0.88,0.92,0.82,0.79,0.74,0.79,0.84,0.73,0.89
d_0,1.06,1.55,1.51,2.22,1.46,1.45,1.11,1.0,1.09,0.77,0.95,0.88,0.95,0.97,0.88,0.87
g_1,1.33,1.29,1.8,1.65,1.45,1.23,1.09,0.89,1.0,1.02,0.86,1.15,1.0,0.76,0.89,0.93
c_0,1.63,1.61,1.2,1.95,1.23,1.19,1.28,1.24,1.02,1.0,1.44,0.96,1.07,0.9,0.87,1.02
b_0,1.45,1.81,1.42,1.93,1.7,1.12,1.28,1.0,1.1,0.71,1.0,0.95,1.5,1.0,0.86,0.89
f_0,1.25,2.17,1.7,1.72,1.59,1.29,1.33,1.05,0.89,1.02,1.05,1.0,1.0,0.97,1.39,0.77
a_0,1.98,1.6,1.52,1.81,1.92,1.68,1.31,1.12,1.04,0.93,0.7,1.02,1.0,1.04,1.0,0.91
h_0,1.73,1.99,1.71,1.65,1.52,1.26,1.13,1.07,1.25,1.04,1.03,1.01,0.98,1.0,0.85,1.13
e_0,1.64,2.2,1.61,1.89,1.54,1.6,1.29,1.15,1.13,1.22,1.25,0.75,1.0,1.17,1.0,0.98
g_0,1.62,1.91,2.08,1.61,1.98,1.4,1.12,1.17,1.05,1.05,1.11,1.28,1.09,0.91,1.07,1.0
