,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.09,0.9,1.0,0.89,0.65,0.88,0.7,0.7,0.67,0.64,0.67,0.5,0.48,0.59
f_1,1.32,1.0,0.92,1.02,0.81,0.78,0.58,0.67,0.61,0.67,0.61,0.55,0.5,0.58,0.57,0.57
c_1,0.92,1.09,1.0,1.17,1.33,0.76,0.71,0.46,0.43,0.68,0.49,0.59,0.62,0.62,0.57,0.56
d_1,1.11,0.98,0.86,1.0,0.99,0.73,0.73,0.9,0.85,0.57,0.72,0.74,0.57,0.66,0.59,0.43
b_1,1.0,1.23,0.75,1.01,1.0,1.58,0.78,0.7,0.74,0.75,0.52,0.58,0.59,0.52,0.64,0.66
a_1,1.12,1.28,1.32,1.37,0.63,1.0,0.8,0.86,0.8,0.78,0.85,0.72,0.84,0.59,0.6,0.7
h_1,1.48,1.71,1.39,1.39,1.25,1.23,1.0,0.9,0.93,0.95,0.84,0.77,0.65,0.73,0.83,0.87
d_0,1.06,1.51,2.32,1.11,1.34,1.26,1.13,1.0,0.78,0.94,1.07,0.94,0.89,0.88,0.79,0.89
c_0,1.5,1.76,2.08,1.2,1.34,1.18,1.03,1.23,1.0,1.09,1.49,0.94,0.92,0.84,0.84,1.05
g_1,1.41,1.56,1.54,1.71,1.37,1.24,1.04,1.03,0.9,1.0,0.98,1.27,0.71,0.86,0.86,0.92
b_0,1.51,1.74,1.99,1.33,1.93,1.17,1.2,1.01,0.68,1.04,1.0,0.92,0.89,1.13,0.76,1.01
f_0,1.42,1.76,1.83,1.36,1.81,1.55,1.3,1.05,1.01,0.82,1.01,1.0,1.02,0.94,1.11,0.82
h_0,1.45,2.18,1.68,1.74,1.6,1.21,1.56,1.11,1.05,1.45,1.03,1.0,1.0,0.89,0.98,0.98
a_0,1.97,1.7,1.64,1.53,1.75,,1.35,1.2,1.24,1.12,0.83,1.16,1.2,1.0,0.86,1.09
e_0,2.14,1.87,1.74,1.64,1.49,1.58,1.2,1.32,1.21,1.25,1.27,0.86,1.08,1.27,1.0,0.94
g_0,1.66,1.77,1.77,2.24,1.57,1.39,1.12,1.07,0.89,1.06,0.98,1.2,1.0,0.95,1.03,1.0
