,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,1.21,1.73,1.88,2.89,22.31,32.53,35.2,34.73,42.36,52.38,79.37,95.79,103.0,113.2
f_1,1.16,1.0,1.07,1.33,1.48,2.73,16.92,24.43,30.22,32.46,39.64,43.64,60.29,77.74,81.56,100.3
d_1,0.81,0.94,1.0,1.01,1.12,2.29,16.12,18.88,20.13,34.08,36.67,36.2,60.52,62.74,79.7,69.85
c_1,0.58,0.74,1.02,1.0,1.45,2.33,14.79,13.17,24.03,20.83,26.8,33.18,53.11,54.46,70.77,77.2
b_1,0.53,0.66,0.87,0.69,1.0,2.85,13.17,13.55,20.35,24.32,26.28,29.03,45.71,46.38,60.86,72.83
a_1,0.35,0.36,0.43,0.43,0.36,1.0,7.73,8.39,11.25,11.48,14.88,15.22,24.7,27.31,40.61,36.84
h_1,0.05,0.06,0.06,0.07,0.08,0.13,1.0,1.13,1.7,1.56,1.87,2.1,3.51,3.68,4.67,5.85
d_0,0.03,0.04,0.05,0.08,0.07,0.12,0.85,1.0,1.31,1.09,1.56,1.88,3.16,3.2,4.27,4.62
g_1,0.03,0.03,0.05,0.04,0.05,0.09,0.58,0.76,1.0,1.22,1.24,1.67,2.16,2.72,3.64,3.75
c_0,0.03,0.03,0.03,0.05,0.04,0.09,0.63,0.92,0.82,1.0,1.52,1.42,2.25,2.75,3.24,3.29
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.53,0.61,0.78,0.66,1.0,1.02,1.94,2.48,2.57,2.75
f_0,0.02,0.02,0.03,0.03,0.04,0.07,0.49,0.57,0.61,0.74,0.91,1.0,1.81,1.71,3.04,2.08
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.31,0.46,0.45,0.52,0.54,1.0,0.93,1.25,1.62
a_0,0.01,0.01,0.02,0.02,0.02,0.03,0.27,0.3,0.36,0.36,0.41,0.58,1.09,1.0,1.26,1.18
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.23,0.27,0.32,0.38,0.33,0.77,0.77,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.21,0.26,0.31,0.38,0.48,0.62,0.8,0.9,1.0
