,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,0.93,1.13,0.92,0.8,0.77,0.7,0.97,0.64,0.65,0.73,0.58,0.58,0.67,0.64
f_1,1.27,1.0,0.87,0.97,0.81,0.85,0.55,0.68,0.62,0.56,0.63,0.55,0.48,0.53,0.48,0.48
d_1,1.06,1.14,1.0,0.94,0.83,0.83,0.76,0.56,0.74,0.89,0.64,0.65,0.63,0.57,0.46,0.54
c_1,0.89,1.04,1.05,1.0,1.47,0.76,0.73,0.69,0.5,0.58,0.48,0.6,0.59,0.54,0.56,0.56
b_1,1.08,1.21,1.18,0.68,1.0,1.3,0.75,0.76,0.6,0.8,0.72,0.67,0.67,0.62,0.59,0.57
a_1,1.23,1.18,1.21,1.32,0.78,1.0,1.01,0.82,0.83,0.83,0.91,0.81,0.78,0.68,0.7,0.66
h_1,1.3,1.77,1.33,1.4,1.34,1.0,1.0,1.07,0.94,0.84,0.87,0.81,0.89,0.85,0.94,0.72
g_1,1.45,1.41,1.83,1.39,1.39,1.31,0.95,1.0,0.92,0.78,0.89,1.09,0.79,0.83,0.85,0.86
d_0,1.08,1.59,1.31,2.06,1.64,1.16,1.04,1.06,1.0,0.85,0.91,0.86,1.05,0.86,0.98,0.74
c_0,1.57,1.83,1.13,1.72,1.19,1.19,1.14,1.24,1.17,1.0,1.47,0.88,1.06,0.89,0.98,0.91
b_0,1.56,1.54,1.51,2.28,1.37,1.02,1.17,1.11,1.02,0.7,1.0,0.93,0.89,1.26,0.81,0.83
f_0,1.41,1.71,1.54,1.61,1.4,1.26,1.25,0.93,1.12,1.1,1.06,1.0,1.04,0.97,0.83,1.25
h_0,1.78,2.03,1.62,1.7,1.49,1.22,1.11,1.33,0.95,0.94,1.11,0.93,1.0,0.88,1.18,0.84
a_0,1.62,1.81,1.8,1.95,1.58,1.35,1.22,1.18,1.2,1.12,0.82,1.1,1.17,1.0,0.97,0.82
g_0,1.64,2.09,2.11,1.79,1.6,1.38,1.03,1.17,1.03,1.02,1.17,1.27,0.86,1.03,1.0,0.95
e_0,1.56,2.25,1.86,1.82,1.86,1.48,1.42,1.14,1.23,1.1,1.26,0.81,1.2,1.22,0.94,1.0
