,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.8,0.85,0.69,1.0,0.82,0.73,0.93,0.92,1.55,0.93,1.01,1.02,0.96,0.81,0.98,1.08
f_1,1.35,1.83,0.77,0.77,0.8,0.58,0.89,0.82,0.95,0.95,0.73,0.99,0.96,0.63,0.79,0.96
d_1,0.81,0.9,1.97,0.64,0.71,0.71,1.09,0.99,0.74,1.62,1.05,1.22,1.0,1.1,1.18,1.1
c_1,0.65,0.79,0.83,1.91,1.27,0.88,0.86,0.94,0.87,0.62,0.9,0.69,0.96,0.92,0.84,0.89
b_1,0.76,0.84,0.81,0.86,2.01,1.43,0.91,0.92,0.92,0.82,0.83,0.64,1.02,0.97,0.97,0.72
a_1,0.85,0.87,0.85,0.77,0.83,2.79,1.09,0.94,0.92,0.98,1.05,1.04,1.02,1.14,1.04,0.67
h_1,0.81,1.13,0.96,0.85,0.71,0.72,1.76,1.21,0.87,1.03,1.05,1.08,0.9,0.97,1.32,0.99
g_1,0.7,0.76,1.26,0.94,0.77,0.75,0.97,1.93,0.77,1.06,1.57,1.19,1.15,1.21,1.01,1.08
d_0,0.78,0.79,0.63,1.52,0.93,0.81,0.95,1.02,1.44,0.73,1.11,0.86,0.97,0.95,1.0,0.93
c_0,0.9,0.91,1.04,0.77,0.62,0.8,1.12,1.2,1.1,1.52,1.27,1.87,1.19,1.06,1.09,1.4
f_0,0.59,0.73,1.1,0.95,0.82,0.97,1.12,1.05,0.95,1.05,1.64,1.11,0.94,2.3,1.18,1.23
b_0,0.86,0.95,0.98,0.91,0.64,0.7,1.07,1.24,1.02,0.99,1.24,1.68,1.24,1.14,1.08,2.09
h_0,0.85,1.13,1.0,0.88,0.78,0.74,0.91,1.37,0.95,0.85,1.06,1.01,0.85,1.0,1.31,1.1
e_0,0.61,0.83,0.98,1.03,0.83,0.97,1.22,1.26,0.99,1.0,1.0,1.15,1.18,2.28,1.14,1.05
g_0,0.76,0.79,1.29,0.88,0.77,0.8,1.1,0.98,0.88,1.19,1.59,1.09,0.98,1.33,1.05,0.96
a_0,0.88,0.93,1.03,0.88,0.8,0.67,1.11,1.33,0.89,0.94,1.0,1.11,1.24,1.24,1.09,2.07
