,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.17,0.47,0.82,0.8,0.77,0.95,0.23,0.24,0.18,0.16,0.19,0.21,0.19,0.14,0.12,0.49
f_1,0.68,0.17,0.68,0.71,0.74,0.83,0.17,0.36,0.17,0.15,0.15,0.35,0.16,0.08,0.14,0.12
d_1,0.95,0.71,0.16,0.84,0.74,0.71,0.24,0.14,0.35,0.13,0.17,0.13,0.13,0.1,0.08,0.14
c_1,0.69,0.74,0.95,0.15,0.81,0.61,0.22,0.19,0.09,0.34,0.17,0.13,0.17,0.12,0.14,0.14
b_1,0.9,0.98,0.75,0.41,0.13,0.82,0.22,0.23,0.18,0.21,0.46,0.21,0.19,0.11,0.11,0.12
a_1,0.9,0.77,0.74,1.14,0.42,0.09,0.35,0.2,0.18,0.15,0.15,0.16,0.44,0.11,0.11,0.15
h_1,0.65,0.54,0.57,0.61,0.68,0.5,0.06,0.19,0.15,0.14,0.13,0.11,0.13,0.19,0.11,0.12
g_1,0.57,0.73,0.54,0.75,0.73,0.61,0.14,0.06,0.14,0.14,0.11,0.1,0.12,0.08,0.12,0.12
d_0,0.33,0.65,1.34,0.63,0.74,0.6,0.19,0.21,0.07,0.14,0.13,0.12,0.13,0.1,0.09,0.11
c_0,0.54,0.78,0.32,1.45,0.78,0.61,0.17,0.18,0.2,0.06,0.14,0.13,0.13,0.1,0.08,0.14
b_0,0.58,0.57,0.46,0.86,1.3,0.57,0.17,0.19,0.13,0.07,0.06,0.12,0.12,0.11,0.1,0.12
f_0,0.57,1.37,0.6,0.63,0.65,0.56,0.17,0.1,0.12,0.11,0.11,0.06,0.12,0.11,0.05,0.11
a_0,0.63,0.57,0.55,0.65,0.71,1.44,0.17,0.2,0.16,0.11,0.07,0.11,0.05,0.07,0.08,0.15
h_0,0.49,0.72,0.57,0.59,0.61,0.49,0.24,0.2,0.14,0.13,0.12,0.11,0.14,0.18,0.08,0.11
g_0,0.57,0.56,0.62,0.59,0.71,0.58,0.14,0.26,0.14,0.13,0.11,0.12,0.1,0.06,0.13,0.11
e_0,0.74,0.99,0.69,0.64,0.57,0.44,0.16,0.15,0.11,0.14,0.13,0.06,0.09,0.08,0.08,0.04
