,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.93,0.46,0.39,0.28,0.31,0.24,0.41,0.34,0.63,0.23,0.39,0.35,0.25,0.35,0.27,0.34
f_1,0.39,0.92,0.63,0.39,0.32,0.22,0.32,0.28,0.29,0.34,0.26,0.21,0.23,0.36,0.15,0.25
e_1,0.37,0.4,0.91,0.48,0.35,0.21,0.35,0.27,0.37,0.59,0.32,0.32,0.26,0.32,0.19,0.31
c_1,0.36,0.41,0.36,0.91,0.62,0.23,0.36,0.27,0.26,0.31,0.25,0.32,0.23,0.36,0.23,0.3
b_1,0.42,0.4,0.39,0.39,0.91,0.42,0.33,0.3,0.3,0.34,0.21,0.31,0.2,0.36,0.22,0.28
a_1,0.46,0.45,0.34,0.39,0.33,0.89,0.34,0.35,0.37,0.33,0.33,0.31,0.18,0.42,0.24,0.26
h_1,0.48,0.55,0.38,0.4,0.36,0.21,0.68,0.38,0.37,0.31,0.34,0.34,0.27,0.29,0.29,0.4
g_1,0.62,0.4,0.4,0.42,0.35,0.21,0.38,0.64,0.42,0.3,0.36,0.46,0.23,0.33,0.28,0.23
c_0,0.45,0.5,0.42,0.36,0.31,0.24,0.44,0.34,0.57,0.38,0.59,0.36,0.35,0.37,0.29,0.35
d_0,0.31,0.39,0.39,0.76,0.43,0.21,0.37,0.31,0.28,0.55,0.33,0.34,0.26,0.4,0.24,0.34
b_0,0.43,0.52,0.42,0.46,0.29,0.2,0.43,0.34,0.39,0.41,0.53,0.4,0.49,0.41,0.31,0.39
f_0,0.52,0.39,0.34,0.44,0.36,0.24,0.45,0.35,0.41,0.35,0.36,0.53,0.3,0.36,0.47,0.38
a_0,0.45,0.51,0.41,0.47,0.38,0.17,0.42,0.35,0.38,0.36,0.3,0.38,0.49,0.43,0.31,0.36
h_0,0.45,0.59,0.45,0.37,0.34,0.22,0.33,0.41,0.4,0.37,0.31,0.31,0.26,0.3,0.24,0.35
e_0,0.48,0.48,0.34,0.41,0.35,0.24,0.49,0.38,0.41,0.35,0.42,0.38,0.36,0.43,0.48,0.35
g_0,0.6,0.41,0.39,0.43,0.31,0.23,0.42,0.23,0.43,0.31,0.34,0.5,0.28,0.34,0.31,0.33
