,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.45,1.34,1.79,1.5,1.77,1.42,0.36,0.31,0.49,0.3,0.31,0.58,0.2,0.32,0.33,0.3
e_1,0.94,0.44,1.7,1.59,1.84,1.76,0.52,0.44,0.67,0.37,0.33,0.48,0.27,1.0,0.36,0.31
c_1,1.53,1.58,0.42,2.32,1.8,1.74,0.53,0.2,0.54,0.56,0.38,0.32,0.23,0.25,0.29,0.24
d_1,2.06,2.28,1.82,0.39,1.78,1.58,0.54,0.91,0.32,0.33,0.39,0.36,0.29,0.42,0.44,0.18
b_1,2.31,2.07,1.02,2.26,0.39,2.27,0.56,0.46,0.53,0.65,0.75,0.43,0.29,0.33,0.4,0.24
a_1,2.74,2.51,2.33,2.87,1.04,0.33,0.77,0.68,0.71,0.54,0.64,0.45,0.34,0.42,0.86,0.4
h_1,2.96,2.73,2.89,2.38,3.49,2.46,0.32,0.53,0.77,0.55,0.53,0.57,0.71,0.49,0.55,0.36
d_0,3.02,1.59,3.75,6.13,3.16,2.86,0.99,0.38,0.99,0.73,0.59,0.57,0.48,0.74,0.63,0.51
g_1,3.45,2.75,3.3,3.28,3.98,3.48,0.68,0.62,0.29,0.63,0.62,0.57,0.34,0.65,0.55,0.62
c_0,3.73,3.49,6.97,1.55,3.41,3.78,0.87,1.03,0.87,0.35,0.83,0.75,0.45,0.63,0.73,0.5
b_0,3.97,2.86,5.32,2.63,7.96,3.22,1.04,0.82,0.95,0.34,0.34,0.69,0.47,0.74,0.64,0.5
f_0,6.13,3.21,4.0,3.6,3.38,3.33,0.94,0.87,0.67,0.65,0.67,0.32,0.52,0.62,0.7,0.29
h_0,4.4,3.62,4.61,3.61,3.59,3.47,2.07,0.84,1.28,0.8,0.86,0.81,0.85,0.71,0.78,0.64
e_0,5.22,6.83,4.48,3.61,4.21,3.73,0.94,0.76,1.09,0.92,0.85,0.44,0.51,0.31,0.77,0.47
a_0,3.96,3.42,5.06,4.02,5.92,6.06,1.33,0.82,1.27,0.76,0.47,1.13,0.72,1.02,0.31,0.66
g_0,5.81,4.9,4.61,3.88,4.27,3.86,1.01,0.97,1.74,0.95,0.88,0.79,0.42,0.71,0.77,0.88
