,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.88,0.18,0.08,0.08,0.05,0.05,0.08,0.06,0.07,0.06,0.06,0.01,0.08,0.05,0.06,0.03
e_1,0.1,0.88,0.1,0.06,0.07,0.04,0.08,0.06,0.15,0.08,0.06,0.07,0.07,0.04,0.06,0.01
c_1,0.09,0.08,0.88,0.07,0.16,0.04,0.08,0.06,0.08,0.02,0.04,0.07,0.09,0.04,0.05,0.04
d_1,0.12,0.07,0.07,0.88,0.06,0.04,0.08,0.06,0.02,0.14,0.07,0.07,0.08,0.05,0.08,0.04
b_1,0.09,0.07,0.09,0.07,0.87,0.1,0.08,0.06,0.09,0.07,0.01,0.05,0.09,0.03,0.07,0.04
a_1,0.13,0.1,0.09,0.07,0.06,0.87,0.07,0.06,0.09,0.07,0.05,0.05,0.1,0.01,0.04,0.03
h_1,0.26,0.14,0.1,0.17,0.1,0.06,0.53,0.11,0.13,0.11,0.12,0.1,0.06,0.08,0.12,0.07
g_1,0.13,0.15,0.15,0.25,0.09,0.07,0.1,0.52,0.12,0.1,0.13,0.18,0.13,0.1,0.04,0.08
d_0,0.15,0.13,0.31,0.06,0.11,0.06,0.14,0.11,0.37,0.11,0.12,0.15,0.18,0.11,0.11,0.1
c_0,0.21,0.13,0.07,0.18,0.08,0.08,0.11,0.12,0.16,0.36,0.28,0.12,0.15,0.1,0.15,0.1
b_0,0.17,0.15,0.13,0.21,0.03,0.09,0.14,0.14,0.13,0.1,0.37,0.14,0.17,0.18,0.12,0.11
f_0,0.08,0.11,0.18,0.2,0.1,0.05,0.13,0.14,0.18,0.15,0.15,0.4,0.22,0.13,0.14,0.18
h_0,0.22,0.13,0.19,0.17,0.1,0.06,0.04,0.16,0.13,0.12,0.14,0.1,0.06,0.1,0.13,0.07
a_0,0.18,0.17,0.18,0.14,0.09,,0.15,0.13,0.13,0.1,0.15,0.15,0.15,0.37,0.11,0.08
g_0,0.16,0.1,0.13,0.27,0.12,0.06,0.12,0.05,0.1,0.08,0.18,0.18,0.15,0.09,0.05,0.07
e_0,0.19,0.04,0.2,0.17,0.16,0.07,0.09,0.11,0.17,0.14,0.17,0.15,0.19,0.07,0.14,0.38
