,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.88,0.08,0.08,0.08,0.09,0.04,0.07,0.06,0.14,0.09,0.07,0.07,0.07,0.01,0.07,0.04
f_1,0.16,0.88,0.08,0.07,0.07,0.04,0.09,0.05,0.07,0.08,0.02,0.07,0.09,0.04,0.05,0.05
d_1,0.08,0.1,0.88,0.06,0.07,0.04,0.07,0.06,0.02,0.14,0.07,0.09,0.07,0.05,0.08,0.05
c_1,0.07,0.09,0.08,0.88,0.12,0.06,0.06,0.06,0.09,0.01,0.08,0.05,0.08,0.05,0.06,0.05
b_1,0.09,0.1,0.09,0.08,0.87,0.09,0.06,0.07,0.08,0.07,0.05,0.01,0.09,0.05,0.05,0.03
a_1,0.09,0.08,0.08,0.07,0.07,0.87,0.08,0.07,0.07,0.08,0.08,0.07,0.06,0.04,0.07,0.02
h_1,0.15,0.2,0.15,0.15,0.1,0.09,0.52,0.12,0.12,0.12,0.11,0.11,0.03,0.06,0.15,0.07
g_1,0.11,0.11,0.24,0.17,0.12,0.06,0.15,0.53,0.11,0.11,0.18,0.12,0.14,0.09,0.05,0.07
d_0,0.15,0.15,0.03,0.3,0.13,0.07,0.13,0.12,0.35,0.11,0.16,0.09,0.12,0.08,0.1,0.05
c_0,0.16,0.16,0.2,0.06,0.11,0.08,0.15,0.15,0.13,0.35,0.18,0.25,0.13,0.1,0.12,0.1
f_0,0.14,0.05,0.18,0.19,0.15,0.09,0.13,0.12,0.13,0.13,0.39,0.12,0.11,0.22,0.11,0.08
b_0,0.18,0.15,0.14,0.17,0.05,0.09,0.13,0.14,0.14,0.11,0.17,0.38,0.16,0.08,0.12,0.17
h_0,0.18,0.21,0.15,0.17,0.1,0.07,0.05,0.16,0.12,0.11,0.13,0.11,0.07,0.08,0.16,0.08
e_0,0.05,0.17,0.15,0.21,0.14,0.09,0.18,0.15,0.16,0.15,0.11,0.12,0.15,0.38,0.1,0.09
g_0,0.11,0.15,0.23,0.15,0.11,0.1,0.15,0.06,0.11,0.13,0.2,0.09,0.1,0.09,0.06,0.07
a_0,0.13,0.18,0.17,0.17,0.07,0.06,0.18,0.14,0.13,0.14,0.13,0.14,0.16,0.1,0.13,0.34
