,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.32,2.19,2.34,2.1,1.89,0.64,0.63,0.97,0.67,0.6,0.8,0.37,0.53,0.6,0.62
e_1,1.54,1.06,2.33,2.72,2.42,2.06,0.92,0.74,0.88,0.8,0.71,0.89,0.58,0.62,1.08,0.53
d_1,2.63,2.58,1.06,2.23,1.97,2.01,0.89,0.77,0.56,1.15,0.74,0.65,0.52,0.61,0.66,0.39
c_1,2.68,1.95,3.38,1.06,3.73,1.88,0.93,1.01,0.91,0.43,0.64,0.62,0.57,0.59,0.53,0.54
b_1,2.78,2.87,2.71,1.35,1.06,3.19,1.28,0.9,0.95,0.92,1.21,0.7,0.7,0.67,0.65,0.62
a_1,3.69,3.48,3.28,4.43,1.82,1.07,1.29,0.97,1.35,1.25,1.3,1.18,1.01,2.03,0.87,0.78
h_1,6.6,5.34,5.93,6.18,5.09,4.33,1.35,1.68,2.47,1.57,1.58,1.53,1.67,1.57,1.5,1.3
c_0,7.82,7.52,4.27,15.61,7.0,6.19,2.75,1.52,2.39,2.58,2.36,1.83,1.78,2.07,1.61,1.59
g_1,6.85,7.72,7.41,7.22,6.59,6.77,2.17,1.99,1.35,2.15,1.93,2.09,1.28,1.67,1.44,1.46
d_0,6.76,5.01,8.45,9.84,6.92,5.29,3.32,2.16,3.13,1.57,2.22,1.92,1.72,1.92,1.87,1.41
b_0,8.77,7.78,6.39,9.05,12.16,6.23,3.02,1.48,3.1,2.3,1.5,2.13,2.11,2.45,1.99,1.35
f_0,13.4,7.69,7.65,9.09,8.41,6.72,3.87,2.32,2.16,2.84,2.32,1.56,2.07,2.42,2.8,1.26
h_0,10.44,9.03,8.54,9.12,8.49,6.84,5.05,2.47,3.79,2.71,2.4,2.31,2.85,2.02,2.41,2.41
a_0,13.08,10.5,8.5,9.93,13.75,10.28,3.36,2.62,4.14,3.25,1.76,2.5,2.89,1.65,2.57,2.57
e_0,12.89,12.83,9.41,11.04,10.74,10.5,4.7,3.17,5.06,3.33,3.02,1.58,2.43,2.6,1.6,2.29
g_0,10.82,10.53,12.32,10.27,10.01,9.25,3.39,3.31,5.56,3.8,3.8,3.53,2.22,2.83,2.67,3.37
