,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.42,1.41,1.17,1.12,1.23,1.29,0.75,0.74,0.5,1.5,0.71,0.53,0.46,0.53,0.36,0.68
f_1,1.32,0.41,1.44,1.26,1.32,1.01,0.58,0.56,0.83,0.61,0.53,0.8,0.37,0.59,0.48,0.48
e_1,1.52,0.81,0.4,1.38,1.37,1.45,0.67,0.6,0.69,0.64,0.64,0.77,0.49,0.61,0.57,1.22
c_1,1.65,1.46,1.2,0.37,1.75,1.21,0.57,0.76,0.6,0.35,0.46,0.51,0.53,0.61,0.5,0.66
b_1,1.25,1.5,1.23,0.75,0.36,2.0,0.86,0.63,0.76,0.51,1.84,0.63,0.56,0.53,0.54,0.55
a_1,1.35,1.51,1.21,1.49,0.73,0.3,0.8,0.69,0.71,0.6,0.65,0.74,0.62,1.45,0.59,0.53
h_1,0.83,0.96,1.05,1.29,0.91,0.94,0.26,0.38,0.61,0.44,0.41,0.45,0.58,0.36,0.43,0.37
c_0,0.58,0.98,1.14,2.34,0.93,0.99,0.53,0.28,0.65,0.54,0.52,0.42,0.45,0.51,0.47,0.42
g_1,0.96,1.05,1.15,1.1,1.05,0.91,0.36,0.42,0.24,0.4,0.41,0.37,0.32,0.45,0.43,0.33
d_0,1.18,0.85,0.64,1.21,1.13,1.01,0.56,0.42,0.67,0.27,0.49,0.37,0.36,0.46,0.35,0.35
b_0,0.78,0.96,0.92,1.42,1.25,0.79,0.59,0.27,0.54,0.39,0.26,0.52,0.41,0.55,0.39,0.41
f_0,0.95,1.9,0.85,1.14,0.79,0.83,0.48,0.42,0.42,0.49,0.37,0.24,0.38,0.45,0.26,0.47
h_0,0.91,1.06,0.95,0.97,0.95,0.84,0.74,0.39,0.55,0.44,0.37,0.42,0.62,0.37,0.41,0.38
a_0,0.84,1.08,0.97,1.26,1.16,,0.52,0.32,0.5,0.58,0.24,0.4,0.33,0.22,0.35,0.38
g_0,0.91,1.07,0.97,1.0,0.9,0.8,0.41,0.34,0.7,0.54,0.37,0.44,0.28,0.37,0.54,0.46
e_0,0.78,1.13,1.99,0.82,0.89,1.24,0.62,0.43,0.54,0.54,0.4,0.24,0.37,0.41,0.32,0.21
