,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.9,0.24,0.28,0.15,0.16,0.12,0.17,0.38,0.2,0.14,0.21,0.17,0.2,0.11,0.06,0.15
f_1,0.43,0.9,0.19,0.2,0.14,0.12,0.18,0.19,0.16,0.11,0.17,0.06,0.16,0.11,0.09,0.12
c_1,0.2,0.22,0.89,0.22,0.32,0.11,0.18,0.2,0.08,0.13,0.12,0.15,0.2,0.11,0.11,0.15
d_1,0.21,0.26,0.16,0.9,0.15,0.12,0.19,0.12,0.35,0.17,0.25,0.19,0.2,0.15,0.12,0.18
b_1,0.18,0.25,0.21,0.19,0.89,0.29,0.17,0.18,0.16,0.13,0.05,0.15,0.17,0.09,0.13,0.15
a_1,0.22,0.28,0.24,0.22,0.15,0.87,0.19,0.21,0.21,0.15,0.19,0.16,0.19,0.06,0.12,0.14
h_1,0.25,0.38,0.25,0.27,0.19,0.15,0.57,0.22,0.24,0.25,0.19,0.19,0.13,0.15,0.18,0.25
d_0,0.27,0.26,0.51,0.14,0.19,0.14,0.22,0.43,0.18,0.17,0.26,0.2,0.24,0.16,0.14,0.17
c_0,0.31,0.28,0.19,0.35,0.14,0.17,0.21,0.28,0.44,0.18,0.44,0.2,0.22,0.18,0.15,0.22
g_1,0.23,0.2,0.25,0.4,0.21,0.16,0.23,0.24,0.23,0.57,0.21,0.35,0.2,0.17,0.17,0.13
b_0,0.33,0.26,0.31,0.29,0.11,0.13,0.25,0.3,0.24,0.18,0.46,0.2,0.26,0.3,0.14,0.21
f_0,0.24,0.17,0.3,0.26,0.24,0.2,0.28,0.28,0.25,0.21,0.23,0.45,0.22,0.18,0.27,0.21
h_0,0.25,0.37,0.28,0.27,0.22,0.13,0.16,0.29,0.25,0.22,0.23,0.17,0.15,0.15,0.14,0.24
a_0,0.32,0.25,0.27,0.28,0.19,0.1,0.24,0.31,0.26,0.23,0.22,0.28,0.26,0.4,0.14,0.22
e_0,0.17,0.33,0.25,0.31,0.21,0.16,0.27,0.27,0.25,0.22,0.24,0.23,0.23,0.21,0.37,0.16
g_0,0.25,0.23,0.26,0.46,0.19,0.12,0.25,0.2,0.23,0.11,0.21,0.3,0.24,0.16,0.17,0.14
