,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.74,3.05,2.41,3.57,2.74,2.92,10.04,21.61,10.64,11.93,14.4,12.53,14.17,22.08,21.17,12.03
f_1,4.25,5.83,2.59,2.83,2.51,2.8,9.62,13.97,10.09,13.52,12.93,8.84,12.82,20.38,17.91,10.69
d_1,2.81,3.06,6.57,2.31,2.69,2.77,11.04,9.71,9.62,23.46,16.61,14.18,15.88,23.16,22.44,15.99
c_1,2.51,2.6,2.83,6.96,5.1,3.1,10.03,11.74,9.9,8.83,10.25,12.47,12.21,18.62,16.53,16.0
b_1,2.54,2.59,2.9,2.74,8.88,5.69,10.83,11.14,11.12,13.03,9.8,14.4,11.09,21.04,19.79,16.16
a_1,2.94,2.89,2.94,2.98,2.56,11.3,12.05,12.28,11.43,14.14,14.73,14.6,9.82,20.57,23.68,13.75
h_1,3.03,3.85,3.32,2.68,3.03,2.84,17.53,11.81,12.49,13.93,12.77,13.3,13.81,17.59,26.34,17.2
d_0,2.64,3.1,2.32,5.33,3.3,2.85,10.57,19.01,10.62,9.99,14.27,12.93,14.61,20.28,19.83,16.56
g_1,2.69,2.44,4.36,3.16,2.96,2.69,10.97,11.92,23.38,14.68,16.12,22.24,16.22,20.65,18.38,20.51
c_0,3.31,3.3,3.04,3.07,2.62,2.56,10.99,15.36,10.98,21.18,25.49,16.1,19.63,23.68,26.42,16.98
b_0,2.97,3.39,3.21,3.48,2.61,2.03,11.0,15.59,11.62,12.67,22.28,16.03,28.79,21.94,21.91,17.15
f_0,2.61,2.76,3.52,3.34,3.31,2.97,10.03,13.94,11.05,13.44,15.8,23.7,16.85,25.01,25.36,33.7
a_0,2.87,3.15,3.62,3.84,3.24,1.99,11.74,14.77,12.28,13.56,14.24,15.62,28.7,22.25,22.71,21.61
h_0,3.03,3.72,3.18,3.21,2.64,3.52,9.81,14.86,15.24,12.82,14.17,13.58,16.0,16.02,27.58,16.02
g_0,2.55,2.81,4.32,3.15,3.01,2.68,11.53,12.34,8.69,13.42,16.0,19.9,18.17,21.08,18.11,18.87
e_0,2.32,3.56,3.15,3.15,3.49,3.36,10.75,13.74,12.28,15.21,14.86,13.82,16.56,24.27,21.03,30.15
