,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.13,2.77,4.68,5.4,6.38,4.55,1.39,1.08,1.56,0.99,1.08,1.46,0.9,0.71,3.42,0.78
f_1,4.58,1.13,5.1,5.24,4.93,4.61,0.98,1.12,1.79,0.91,0.81,2.54,1.18,0.51,1.03,0.86
d_1,6.89,5.44,1.12,5.91,4.59,6.64,1.62,2.79,1.04,1.0,1.27,0.85,1.13,0.76,0.88,0.51
c_1,4.64,6.39,7.34,1.13,5.56,4.59,1.93,0.65,1.58,2.31,1.14,1.01,1.08,0.9,1.11,0.84
b_1,6.53,7.88,7.46,3.69,1.14,6.67,2.08,1.53,2.26,2.06,3.7,1.49,1.52,1.15,1.26,0.85
a_1,9.94,13.27,11.1,8.71,5.21,1.15,3.17,2.23,3.78,2.39,2.51,2.09,5.07,1.67,1.59,2.01
h_1,17.96,18.88,16.09,17.09,17.83,14.52,1.76,3.93,4.55,3.31,3.09,2.99,2.99,4.67,2.93,2.51
d_0,11.49,24.49,48.04,24.16,25.29,29.27,7.48,2.37,6.99,4.4,4.22,4.02,5.55,3.68,5.11,4.14
g_1,22.11,23.84,20.51,29.21,23.78,21.28,6.07,4.56,1.8,4.56,3.75,4.47,5.2,2.31,4.17,6.02
c_0,26.56,24.49,12.6,60.62,28.98,24.97,8.04,6.79,5.86,2.38,5.57,4.64,5.55,3.31,4.12,4.6
b_0,22.9,30.97,23.19,36.1,64.7,24.32,8.11,4.79,7.14,2.81,2.48,5.13,6.71,4.51,4.43,3.68
f_0,25.5,84.28,27.79,30.89,30.57,27.14,9.14,6.27,4.92,5.76,5.68,2.5,6.21,4.01,6.37,2.61
a_0,38.25,33.87,28.5,38.25,51.52,74.92,9.54,8.25,9.03,6.42,3.51,6.49,2.46,5.09,6.98,5.25
h_0,37.14,35.53,32.97,35.31,37.59,36.73,17.36,7.24,8.9,7.08,7.01,6.58,7.43,9.02,5.85,5.25
e_0,76.5,55.75,27.79,45.25,32.73,41.62,11.89,10.87,9.85,8.32,9.31,3.8,8.0,6.4,2.73,6.02
g_0,42.5,57.52,37.37,36.51,50.58,53.51,9.23,10.52,17.57,8.93,8.71,6.86,11.24,4.41,7.89,11.03
