,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.08,1.25,1.02,0.83,0.73,0.37,0.42,0.43,0.4,0.33,,0.29,0.27,0.3,0.35
d_1,0.92,1.0,0.99,1.05,0.83,0.69,0.44,0.38,0.59,,0.44,0.37,0.43,0.37,0.29,0.23
e_1,0.8,1.01,1.0,1.02,0.88,0.77,0.5,0.43,0.44,0.55,0.36,0.41,0.38,0.29,,0.46
c_1,0.98,0.95,0.98,1.0,1.47,0.88,0.45,0.51,,0.35,0.47,0.4,0.39,0.36,0.33,0.47
b_1,1.21,1.21,1.13,0.68,1.0,1.31,0.65,0.33,0.55,0.52,,0.57,0.4,0.45,0.36,0.31
a_1,1.36,1.44,1.3,1.14,0.77,1.0,0.84,0.77,0.53,0.57,0.59,0.63,0.59,,,
h_1,2.67,2.25,2.0,2.21,1.54,1.19,1.0,1.02,0.95,0.81,0.76,0.6,,0.64,0.68,0.72
g_1,2.39,2.66,2.34,1.96,3.02,1.31,0.98,1.0,0.95,0.73,0.84,0.95,0.67,0.92,0.57,
c_0,2.35,1.69,2.28,,1.82,1.89,1.05,1.05,1.0,1.09,1.17,0.78,1.0,1.07,0.84,0.62
d_0,2.49,,1.8,2.85,1.92,1.77,1.24,1.36,0.92,1.0,0.95,0.92,0.9,0.66,0.88,0.79
b_0,3.07,2.27,2.8,2.11,,1.69,1.31,1.19,0.86,1.05,1.0,1.07,0.78,1.31,0.77,0.69
f_0,,2.69,2.45,2.49,1.77,1.6,1.67,1.05,1.28,1.08,0.94,1.0,1.16,0.9,1.19,0.66
h_0,3.49,2.33,2.65,2.56,2.51,1.68,,1.49,1.0,1.11,1.27,0.86,,0.84,0.99,0.98
a_0,3.65,2.73,3.43,2.81,2.2,,1.57,1.09,0.93,1.51,0.76,1.11,1.2,1.0,,1.04
e_0,3.33,3.4,,2.99,2.76,,1.47,1.74,1.2,1.13,1.3,0.84,1.01,,1.0,
g_0,2.86,4.41,2.17,2.13,3.25,,1.4,,1.62,1.26,1.44,1.52,1.02,0.96,,
