,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.68,5.53,5.84,4.98,4.76,5.44,2.05,1.88,2.1,1.93,2.04,,1.5,2.15,2.18,1.61
e_1,3.57,0.68,4.63,4.9,5.75,5.07,2.45,2.46,3.4,2.05,1.71,2.65,2.07,,2.21,1.59
c_1,5.03,7.61,0.66,7.26,7.89,6.46,2.66,1.3,2.5,,2.4,1.97,1.8,1.4,1.62,1.67
d_1,5.63,9.64,5.59,0.64,5.2,4.93,2.6,,1.97,2.46,2.86,1.76,1.71,2.36,2.2,1.12
b_1,7.17,7.15,3.83,7.67,0.63,8.54,2.31,2.94,2.35,2.69,,2.16,1.55,1.99,1.79,1.56
a_1,6.44,7.86,5.84,8.77,3.9,0.58,3.3,3.31,3.2,,2.43,3.1,2.37,2.05,,
h_1,4.73,4.98,5.07,4.56,6.13,4.39,0.62,1.78,2.25,2.1,1.58,1.66,,1.3,1.49,1.4
d_0,5.33,3.07,5.34,,4.45,4.11,2.26,0.72,2.15,2.25,1.47,1.22,1.3,1.93,1.29,1.38
g_1,6.7,5.25,5.64,5.97,5.25,5.62,2.16,2.25,0.57,2.11,1.94,1.86,1.32,1.65,1.77,
c_0,5.08,5.42,,2.96,5.5,,1.81,1.82,2.02,0.69,2.03,2.36,1.15,1.45,1.61,1.41
b_0,6.13,5.2,6.34,4.54,,5.04,2.49,2.14,2.16,1.0,0.67,1.72,1.39,2.11,2.66,1.71
f_0,,4.89,5.91,6.89,4.71,4.25,2.54,2.36,1.88,1.5,1.92,0.65,1.42,2.62,,0.91
h_0,5.46,4.24,4.61,3.87,4.3,3.29,,1.59,2.28,1.65,1.83,2.08,,1.72,,1.92
e_0,9.47,,7.48,5.61,5.49,5.13,2.63,1.92,2.49,2.28,2.17,1.3,1.32,0.62,,1.27
a_0,5.59,4.75,7.39,6.77,8.16,,3.23,2.02,2.53,2.2,1.26,,,,0.61,
g_0,9.35,5.72,4.7,5.5,4.85,,2.07,1.8,,1.86,1.69,2.03,1.0,1.83,,
