,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.53,0.89,0.77,1.0,0.79,0.64,1.05,1.1,1.69,1.09,1.07,1.19,0.94,1.25,1.05,0.88
f_1,1.26,1.53,0.92,0.88,0.76,0.72,1.03,0.92,1.06,0.91,1.02,0.7,0.89,0.97,1.12,0.6
d_1,0.96,1.01,1.56,0.81,0.82,0.77,1.07,0.94,0.81,1.6,1.16,1.01,0.91,1.14,0.94,0.83
c_1,0.89,0.98,0.94,1.57,1.31,0.61,0.99,0.92,0.93,0.74,0.78,0.94,0.94,1.13,1.02,0.88
b_1,0.92,0.98,0.96,0.79,1.64,1.26,0.96,0.95,0.92,1.07,0.8,1.01,0.91,1.15,0.97,0.89
a_1,0.97,1.07,0.97,1.19,0.71,1.79,1.35,1.17,1.19,1.13,1.24,1.1,0.79,1.4,1.14,1.1
h_1,1.18,1.38,1.08,1.23,1.1,0.66,1.81,1.51,1.25,1.3,1.26,1.16,1.13,1.23,1.49,1.12
g_1,1.07,1.0,1.57,1.15,1.0,0.9,1.28,1.85,1.06,1.37,1.21,1.77,1.1,1.32,1.1,1.29
d_0,0.95,1.2,1.15,1.8,1.06,0.88,1.37,1.36,1.73,0.96,1.25,1.44,1.12,1.45,1.37,1.24
c_0,1.12,1.39,1.18,1.14,0.86,0.93,1.31,1.43,1.5,1.77,2.2,1.52,1.45,1.65,1.27,1.15
b_0,1.14,1.3,1.24,1.37,0.89,0.94,1.34,1.38,1.33,1.14,1.81,1.45,2.04,1.61,1.5,1.23
f_0,0.95,1.17,1.37,1.3,1.09,0.99,1.63,1.34,1.43,1.39,1.38,1.83,1.37,1.69,1.18,2.12
a_0,1.18,1.31,1.55,1.25,1.14,0.72,1.51,1.4,1.38,1.24,1.33,1.41,1.81,1.46,1.61,1.24
h_0,1.15,1.64,1.33,1.22,1.08,0.89,1.22,1.51,1.32,1.26,1.32,1.17,1.36,1.27,1.66,1.12
g_0,1.21,1.23,1.75,1.18,1.21,0.89,1.38,1.4,1.44,1.55,1.43,2.0,1.39,1.57,1.31,1.27
e_0,0.97,1.6,1.34,1.43,1.27,1.1,1.56,1.34,1.45,1.47,1.32,1.24,1.3,1.47,1.54,1.87
