,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,0.48,0.67,0.78,0.7,0.63,0.4,0.39,0.39,0.31,0.31,0.39,0.26,0.31,0.29,0.42
f_1,0.71,0.41,0.63,0.7,0.6,0.66,0.28,0.4,0.32,0.27,0.29,0.36,0.2,0.3,0.24,0.27
d_1,0.72,0.71,0.39,0.66,0.61,0.61,0.37,0.26,0.41,0.37,0.31,0.31,0.25,0.28,0.2,0.29
c_1,0.54,0.69,0.73,0.39,0.85,0.68,0.36,0.37,0.2,0.32,0.26,0.27,0.25,0.28,0.25,0.28
b_1,0.69,0.74,0.76,0.42,0.36,0.77,0.36,0.38,0.28,0.39,0.43,0.31,0.27,0.33,0.31,0.27
a_1,0.74,0.7,0.7,0.77,0.41,0.3,0.46,0.37,0.37,0.34,0.4,0.32,0.28,0.44,0.26,0.3
h_1,0.61,0.75,0.58,0.64,0.63,0.57,0.24,0.35,0.29,0.26,0.27,0.27,0.29,0.28,0.26,0.26
g_1,0.65,0.63,0.72,0.63,0.61,0.66,0.28,0.22,0.28,0.27,0.26,0.31,0.19,0.26,0.26,0.27
d_0,0.43,0.63,0.71,0.73,0.77,0.59,0.35,0.41,0.24,0.26,0.31,0.29,0.31,0.28,0.31,0.28
c_0,0.64,0.71,0.42,0.8,0.6,0.59,0.37,0.38,0.35,0.23,0.37,0.29,0.27,0.29,0.26,0.3
b_0,0.61,0.63,0.53,0.93,0.76,0.56,0.32,0.34,0.31,0.18,0.21,0.27,0.23,0.33,0.22,0.28
f_0,0.6,0.86,0.62,0.61,0.61,0.53,0.36,0.25,0.3,0.31,0.27,0.21,0.26,0.3,0.19,0.34
h_0,0.65,0.67,0.6,0.64,0.6,0.5,0.36,0.36,0.25,0.26,0.3,0.25,0.29,0.25,0.26,0.24
a_0,0.57,0.65,0.61,0.69,0.7,0.79,0.33,0.34,0.29,0.25,0.19,0.3,0.26,0.19,0.23,0.23
g_0,0.6,0.73,0.64,0.69,0.63,0.53,0.27,0.36,0.27,0.26,0.27,0.28,0.18,0.27,0.25,0.24
e_0,0.7,0.83,0.58,0.62,0.64,0.55,0.37,0.28,0.26,0.25,0.28,0.18,0.26,0.28,0.22,0.18
