,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.11,1.82,3.11,3.26,3.13,2.96,0.9,0.82,0.64,0.61,0.71,0.71,0.46,1.08,0.52,0.66
f_1,2.87,1.1,2.72,2.8,3.2,2.66,0.6,0.93,0.6,0.63,0.91,0.65,0.36,0.52,0.53,0.52
d_1,3.94,3.47,1.1,3.66,3.08,2.51,0.95,0.59,1.13,0.54,0.68,0.58,0.4,0.59,0.31,0.53
c_1,2.54,3.63,3.99,1.11,3.59,3.44,0.95,1.04,0.39,1.07,0.59,0.72,0.5,0.6,0.48,0.7
b_1,4.11,4.96,4.7,2.17,1.12,3.89,1.44,1.6,0.85,1.17,0.84,1.35,0.7,0.88,0.66,0.83
a_1,6.15,5.78,5.6,5.0,2.73,1.14,1.55,1.43,1.21,1.13,1.26,1.5,0.74,0.98,0.76,2.01
h_1,11.85,11.79,11.05,10.87,10.08,10.32,1.61,3.21,2.61,2.5,2.44,2.46,2.6,2.09,1.61,2.04
g_1,14.41,15.31,14.35,15.33,14.76,12.21,2.98,1.65,3.23,2.97,3.31,2.97,1.68,2.63,3.04,3.11
d_0,8.9,15.25,23.65,15.11,15.82,16.09,4.71,4.23,2.04,3.19,3.04,3.41,1.99,4.22,2.56,3.25
c_0,16.04,15.64,8.63,27.81,15.63,13.3,4.6,3.84,4.96,1.93,3.09,3.09,2.27,2.95,2.04,3.94
f_0,14.76,26.41,15.84,17.36,16.21,16.09,5.27,3.02,3.37,2.98,1.98,3.52,2.4,3.4,1.47,3.16
b_0,16.04,16.56,13.71,25.54,26.16,17.44,4.82,4.48,4.11,1.88,3.18,1.91,2.34,3.4,2.55,3.22
h_0,20.53,22.49,18.87,21.82,22.2,17.58,8.55,7.51,4.42,4.85,4.52,4.47,4.23,4.17,3.15,4.23
e_0,33.4,35.73,21.53,26.63,18.74,24.41,6.21,6.3,5.24,4.19,2.67,4.37,3.96,2.22,2.6,4.94
g_0,22.96,31.41,25.07,28.05,26.69,24.7,6.5,9.41,5.37,5.75,5.13,5.48,2.74,4.99,4.13,4.94
a_0,26.06,25.66,26.45,27.56,33.02,45.11,8.55,7.26,6.19,4.48,6.32,2.74,3.66,6.74,3.95,2.29
