,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,0.61,0.62,0.68,0.65,0.59,0.14,0.24,0.12,0.12,0.12,0.25,0.06,0.11,0.13,0.11
e_1,0.37,0.18,0.7,0.77,0.8,0.8,0.2,0.24,0.15,0.15,0.14,0.18,0.1,0.15,0.32,0.11
d_1,0.67,0.82,0.15,0.64,0.72,0.59,0.21,0.11,0.11,0.32,0.12,0.12,0.09,0.11,0.1,0.06
c_1,0.68,0.51,0.8,0.15,0.58,0.65,0.18,0.22,0.23,0.07,0.15,0.15,0.11,0.13,0.15,0.09
b_1,0.79,0.64,0.72,0.36,0.13,0.65,0.22,0.19,0.18,0.14,0.33,0.15,0.09,0.14,0.16,0.1
a_1,0.8,0.76,0.59,0.63,0.35,0.09,0.22,0.18,0.16,0.19,0.18,0.11,0.11,0.34,0.15,0.12
h_1,0.53,0.53,0.5,0.56,0.5,0.42,0.06,0.19,0.11,0.1,0.1,0.1,0.16,0.11,0.1,0.08
g_1,0.55,0.72,0.45,0.5,0.55,0.42,0.1,0.05,0.1,0.13,0.1,0.11,0.07,0.12,0.08,0.1
c_0,0.62,0.59,0.28,0.85,0.55,0.55,0.14,0.12,0.06,0.18,0.12,0.13,0.09,0.11,0.12,0.08
d_0,0.54,0.28,1.04,0.59,0.56,0.48,0.17,0.31,0.12,0.06,0.12,0.1,0.09,0.1,0.1,0.08
b_0,0.64,0.56,0.44,0.7,0.71,0.47,0.14,0.12,0.06,0.11,0.05,0.09,0.08,0.1,0.1,0.07
f_0,0.96,0.53,0.43,0.49,0.51,0.46,0.17,0.08,0.09,0.14,0.11,0.04,0.08,0.12,0.08,0.05
h_0,0.57,0.49,0.53,0.52,0.45,0.52,0.2,0.15,0.09,0.1,0.11,0.09,0.12,0.09,0.1,0.07
a_0,0.6,0.45,0.49,0.57,0.69,0.72,0.14,0.15,0.09,0.1,0.06,0.1,0.07,0.04,0.09,0.07
e_0,0.82,0.68,0.52,0.42,0.53,0.43,0.12,0.12,0.09,0.11,0.09,0.04,0.07,0.13,0.03,0.06
g_0,0.52,0.5,0.46,0.56,0.61,0.49,0.12,0.17,0.1,0.12,0.1,0.11,0.07,0.1,0.11,0.12
