,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.07,1.18,1.54,1.88,1.52,1.51,5.48,4.7,13.91,7.38,7.82,7.71,10.82,7.94,4.59,10.63
d_1,1.48,6.32,1.68,1.21,1.45,1.48,6.24,5.75,3.53,13.3,8.5,8.14,9.38,9.14,7.87,11.69
f_1,2.55,1.35,6.26,1.63,1.44,1.29,4.3,4.78,6.18,7.02,7.06,4.22,11.68,8.39,6.7,11.62
c_1,1.47,1.51,1.74,6.78,2.77,1.09,4.89,5.3,6.84,2.76,4.53,5.4,11.08,8.2,7.71,9.3
b_1,1.39,1.5,1.51,1.48,7.22,3.19,6.38,5.47,6.74,6.25,2.66,5.87,9.71,5.14,6.51,9.97
a_1,1.53,1.86,1.42,1.52,1.42,10.39,5.58,6.5,6.57,7.21,8.24,9.84,12.28,3.58,7.88,12.89
h_1,1.71,1.74,2.65,1.91,1.51,1.98,17.22,9.02,8.15,9.05,9.42,7.8,8.61,9.23,8.5,15.93
g_1,1.46,2.99,1.88,1.85,1.78,1.45,7.0,18.2,6.39,10.18,8.95,13.2,12.81,7.61,9.75,8.68
d_0,1.54,1.24,1.95,3.97,1.77,1.51,6.74,6.67,15.36,6.84,8.89,9.09,13.72,8.58,11.12,12.85
c_0,1.77,2.16,1.89,1.2,1.48,2.02,7.44,7.5,7.86,16.08,17.94,10.46,14.43,10.4,11.7,12.47
b_0,1.6,2.24,2.01,2.07,1.11,1.77,7.07,7.85,8.37,8.65,17.68,11.01,14.22,19.61,10.44,13.0
f_0,1.52,2.16,1.32,2.14,1.58,1.99,7.74,7.46,9.62,8.36,8.61,19.0,17.43,9.31,24.32,14.56
h_0,1.56,2.18,2.81,2.09,1.83,1.48,4.46,8.52,8.46,7.44,9.32,8.11,8.51,9.28,10.18,17.92
a_0,1.7,1.73,2.0,2.21,1.92,1.1,8.62,8.26,8.58,8.36,10.95,12.27,15.62,23.4,12.33,14.02
e_0,1.06,2.57,2.27,2.22,1.57,1.4,8.24,6.23,9.47,9.01,10.1,9.63,17.94,11.62,26.71,14.1
g_0,1.6,2.76,1.86,2.02,1.58,1.7,6.45,4.29,7.39,8.58,9.57,14.98,13.72,11.46,10.35,8.52
