,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.42,1.02,0.95,0.97,0.85,0.8,0.22,0.16,0.19,0.26,0.19,0.16,0.12,0.09,0.17,0.16
e_1,0.87,0.42,0.59,1.08,0.97,0.81,0.31,0.28,0.19,0.21,0.19,0.22,0.13,0.16,0.2,0.25
f_1,0.9,0.91,0.42,0.94,0.88,0.81,0.21,0.26,0.18,0.19,0.18,0.23,0.1,0.15,0.18,0.16
c_1,1.23,0.82,0.92,0.4,0.93,0.88,0.32,0.32,0.27,0.12,0.19,0.18,0.14,0.15,0.16,0.18
b_1,1.13,1.09,1.07,0.63,0.38,1.03,0.31,0.32,0.31,0.25,0.32,0.25,0.17,0.18,0.2,0.21
a_1,1.38,1.25,1.35,1.24,0.63,0.32,0.38,0.39,0.31,0.29,0.41,0.29,0.19,0.16,0.43,0.25
h_1,1.67,1.55,1.77,1.93,1.77,1.58,0.28,0.48,0.34,0.36,0.38,0.34,0.31,0.25,0.33,0.31
g_1,1.94,1.85,2.1,1.86,1.96,1.66,0.4,0.26,0.43,0.42,0.42,0.34,0.24,0.32,0.4,0.35
c_0,1.27,1.86,2.23,3.47,2.27,1.59,0.52,0.56,0.29,0.62,0.42,0.37,0.31,0.26,0.39,0.43
d_0,2.35,1.33,1.91,2.14,2.03,1.66,0.62,0.82,0.44,0.31,0.42,0.4,0.31,0.31,0.44,0.47
b_0,1.65,1.81,2.18,3.29,2.77,1.63,0.54,0.57,0.26,0.49,0.28,0.36,0.3,0.26,0.5,0.38
f_0,2.1,1.98,2.65,2.56,2.17,1.86,0.57,0.49,0.46,0.54,0.5,0.28,0.35,0.22,0.42,0.45
h_0,2.3,2.32,2.59,2.33,2.26,1.89,0.85,0.73,0.47,0.51,0.45,0.44,0.45,0.35,0.43,0.41
g_0,2.43,2.51,2.96,2.77,2.87,2.65,0.59,0.93,0.51,0.57,0.51,0.51,0.28,0.41,0.49,0.46
a_0,2.56,2.31,2.54,2.92,3.94,3.09,0.7,0.66,0.42,0.54,0.29,0.47,0.44,0.36,0.26,0.55
e_0,2.75,2.68,3.22,2.53,2.63,2.4,0.72,0.67,0.52,0.53,0.58,0.31,0.37,0.31,0.6,0.26
