,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.27,0.52,0.39,0.63,0.43,0.28,0.87,0.79,0.96,2.03,1.15,1.1,1.31,0.4,1.22,0.9
f_1,0.89,2.28,0.45,0.42,0.34,0.35,0.77,0.75,0.96,0.94,0.36,0.93,1.22,0.61,0.9,0.67
d_1,0.45,0.57,2.38,0.4,0.4,0.4,0.85,0.76,1.97,0.4,0.9,1.12,1.37,0.82,1.14,0.67
c_1,0.42,0.56,0.44,2.44,0.8,0.39,0.88,0.68,0.3,0.96,0.86,0.71,1.31,0.75,1.14,0.73
b_1,0.47,0.48,0.45,0.44,2.65,0.73,0.95,0.81,0.95,0.92,1.04,0.31,1.11,1.02,1.03,0.75
a_1,0.51,0.48,0.61,0.46,0.44,2.98,0.96,0.8,1.06,0.86,0.91,0.79,1.28,0.75,1.07,0.25
h_1,0.5,0.9,0.62,0.59,0.41,0.37,3.03,1.35,1.2,1.31,1.07,1.13,0.8,1.18,1.56,0.86
g_1,0.61,0.55,0.88,0.5,0.38,0.51,1.07,3.27,1.16,1.02,1.68,1.22,1.13,0.86,0.73,0.98
c_0,0.68,0.64,0.76,0.28,0.42,0.48,1.05,1.06,2.49,1.22,1.36,2.18,1.43,1.2,1.46,1.22
d_0,0.64,0.71,0.29,1.19,0.56,0.46,0.9,0.87,0.82,2.49,1.27,0.98,1.47,0.85,1.42,0.94
f_0,0.54,0.41,0.64,0.77,0.58,0.42,1.26,0.9,1.21,1.47,2.8,1.29,1.37,2.32,1.61,0.99
b_0,0.59,0.58,0.81,0.61,0.27,0.33,1.13,1.05,1.34,1.27,1.32,2.88,1.74,1.26,1.57,2.54
h_0,0.6,0.75,0.69,0.63,0.48,0.51,0.65,1.32,1.14,1.25,1.06,1.16,0.97,0.85,1.89,0.97
e_0,0.25,0.75,0.72,0.73,0.52,0.51,1.23,1.11,1.33,1.04,1.37,1.04,1.68,3.11,1.26,0.88
g_0,0.53,0.49,1.04,0.65,0.48,0.44,1.22,0.58,1.24,1.15,1.94,1.1,1.51,1.43,1.07,0.97
a_0,0.51,0.7,0.78,0.59,0.52,0.22,1.2,0.91,0.92,1.3,1.37,1.19,1.69,0.95,1.58,3.2
