,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.22,1.06,1.07,1.4,3.33,16.45,28.57,30.44,29.38,34.64,44.83,55.83,73.74,89.66,111.87
e_1,0.81,1.0,1.34,1.1,1.54,3.7,18.61,30.28,38.45,31.27,39.76,44.99,64.22,90.85,100.47,114.23
c_1,0.94,0.74,1.0,1.18,1.88,2.69,17.35,25.13,18.6,24.4,28.9,34.1,58.34,76.47,76.02,101.15
d_1,0.92,0.91,0.86,1.0,1.3,2.95,16.62,18.83,27.01,36.86,30.11,38.56,54.29,71.06,67.63,84.9
b_1,0.68,0.67,0.54,0.76,1.0,3.77,13.62,18.17,16.19,24.1,22.21,31.17,40.65,54.28,52.73,65.65
a_1,0.3,0.27,0.37,0.34,0.27,1.0,5.59,8.87,8.21,8.37,9.97,15.7,19.04,24.45,23.28,28.39
h_1,0.06,0.05,0.06,0.06,0.07,0.18,1.0,1.82,1.41,1.74,1.86,2.5,3.25,4.3,4.25,6.5
g_1,0.04,0.03,0.04,0.05,0.05,0.11,0.55,1.0,0.85,1.22,1.56,1.61,1.83,2.92,3.1,3.66
d_0,0.03,0.03,0.06,0.04,0.06,0.12,0.69,1.14,1.0,0.95,1.27,1.58,2.31,2.92,3.04,3.75
c_0,0.03,0.03,0.04,0.03,0.04,0.12,0.56,0.84,0.99,1.0,1.05,1.95,2.04,2.88,3.05,3.3
f_0,0.03,0.03,0.04,0.03,0.05,0.09,0.55,0.62,0.79,0.94,1.0,1.42,1.91,3.09,2.51,2.47
b_0,0.02,0.02,0.03,0.02,0.03,0.07,0.41,0.65,0.62,0.52,0.68,1.0,1.56,1.66,2.79,2.15
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.31,0.54,0.44,0.47,0.53,0.65,1.0,1.34,1.38,1.83
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.22,0.32,0.34,0.36,0.32,0.64,0.8,1.0,1.09,1.07
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.33,0.32,0.34,0.38,0.37,0.73,0.94,1.0,1.16
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.15,0.27,0.27,0.31,0.4,0.49,0.54,0.85,0.88,1.0
