,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.16,1.04,0.92,0.95,0.89,0.88,1.0,0.97,0.89,0.92,0.91,0.9,0.86,0.98,1.01
e_1,0.87,1.0,1.13,0.88,1.01,0.99,1.04,1.35,1.2,0.98,1.0,1.23,1.09,1.06,1.03,1.1
c_1,0.96,0.88,1.0,1.18,1.29,1.01,0.99,0.73,1.02,0.83,0.86,0.92,0.88,0.93,0.9,0.97
d_1,1.08,1.09,0.86,1.0,0.93,0.86,1.06,1.0,0.81,1.31,1.14,0.98,1.05,1.01,1.17,0.87
b_1,1.03,0.98,0.79,1.07,1.0,1.42,1.0,0.94,0.91,1.2,0.97,0.99,1.02,0.98,0.85,1.01
a_1,1.1,1.03,0.94,1.1,0.72,1.0,1.09,1.09,1.08,1.0,1.29,1.01,1.21,1.05,1.06,1.13
h_1,1.08,0.96,1.03,0.94,1.03,0.89,1.0,0.92,1.11,0.93,0.93,1.0,0.95,1.0,0.98,1.07
d_0,0.98,0.77,1.37,1.03,1.11,0.89,1.08,1.0,1.18,0.86,0.93,0.9,1.06,1.2,1.0,1.06
g_1,1.0,0.83,1.0,1.25,1.08,0.92,0.91,0.87,1.0,0.97,0.95,1.15,0.9,1.11,0.88,0.94
c_0,1.14,1.03,1.18,0.79,0.86,1.04,1.02,1.18,1.02,1.0,1.43,1.08,1.04,0.98,1.23,1.01
b_0,1.08,0.99,1.2,0.88,1.03,0.8,1.07,1.05,1.08,0.73,1.0,0.97,0.96,1.01,1.38,1.0
f_0,1.04,0.83,1.15,1.03,0.98,0.97,0.98,1.03,0.89,0.93,1.0,1.0,1.02,1.38,0.88,0.82
h_0,1.13,0.97,1.13,0.96,1.01,0.82,1.06,0.92,1.13,0.95,0.99,0.92,1.0,1.0,0.85,1.13
e_0,1.13,0.92,1.13,0.96,1.04,0.96,1.03,0.85,0.95,0.97,0.96,0.75,0.97,1.0,0.99,0.95
a_0,1.05,0.98,1.11,0.93,1.14,0.94,1.09,0.99,1.14,0.82,0.77,1.03,1.15,1.04,1.0,1.03
g_0,1.0,0.94,1.06,1.13,0.99,0.88,0.94,0.98,1.05,1.01,0.98,1.15,0.87,1.04,0.96,1.0
