,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.51,0.37,0.44,0.52,0.45,0.3,0.53,0.97,0.52,0.59,0.47,0.58,0.61,0.71,0.24,0.48
d_1,0.44,1.53,0.47,0.43,0.39,0.36,0.54,0.29,0.92,0.43,0.61,0.54,0.68,0.44,0.6,0.47
f_1,0.72,0.46,1.52,0.5,0.33,0.44,0.49,0.47,0.52,0.44,0.5,0.2,0.58,0.6,0.45,0.47
c_1,0.47,0.42,0.46,1.53,0.79,0.31,0.63,0.46,0.24,0.45,0.45,0.59,0.55,0.49,0.52,0.39
b_1,0.51,0.55,0.59,0.34,1.59,0.72,0.48,0.56,0.54,0.54,0.26,0.47,0.65,0.5,0.33,0.36
a_1,0.58,0.52,0.51,0.58,0.29,1.75,0.67,0.68,0.66,0.63,0.65,0.62,0.57,0.56,0.37,0.24
h_1,0.77,0.77,0.88,0.76,0.74,0.54,1.67,0.94,0.89,0.98,0.8,0.81,0.54,0.94,0.68,0.81
d_0,0.58,0.3,0.98,1.33,0.69,0.6,0.79,1.48,0.75,0.67,0.98,0.69,0.89,0.82,0.63,0.83
c_0,0.81,0.79,0.83,0.48,0.73,0.58,0.74,0.98,1.52,0.71,1.53,1.03,0.89,0.97,0.89,0.82
g_1,0.54,1.22,0.72,0.85,0.65,0.43,0.71,0.93,0.93,1.77,0.94,1.26,0.68,0.74,0.79,0.69
b_0,0.77,0.83,0.87,0.88,0.51,0.46,1.19,0.81,0.87,0.81,1.61,0.9,0.93,0.94,0.69,1.43
f_0,0.75,0.93,0.48,0.71,0.91,0.64,0.95,1.09,0.96,0.66,0.94,1.53,1.01,1.05,1.15,0.71
h_0,0.85,0.79,1.05,0.76,0.66,0.6,0.58,0.94,0.97,1.21,0.96,0.86,0.66,1.06,0.66,0.61
g_0,0.68,1.32,0.58,0.94,0.76,0.65,0.93,0.89,0.85,0.5,0.8,1.23,0.91,0.58,0.69,0.68
e_0,0.44,0.81,0.86,0.88,0.88,0.79,1.02,1.06,1.03,0.85,1.15,1.01,1.35,1.27,1.74,0.68
a_0,0.71,0.93,0.83,0.93,0.86,,1.02,1.15,0.92,0.96,0.77,1.04,1.36,0.94,0.96,1.62
