,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.79,2.91,2.58,3.43,2.91,2.51,9.89,9.52,20.71,12.8,13.77,12.74,20.09,14.87,21.04,11.47
f_1,4.24,5.97,2.62,2.7,2.55,2.7,8.89,9.42,13.91,11.76,13.64,8.58,19.83,13.38,17.61,11.02
d_1,2.81,3.0,6.78,2.48,2.45,2.83,11.81,10.55,9.51,22.74,16.82,14.03,21.78,15.0,21.7,16.68
c_1,2.45,2.66,2.7,6.84,5.11,2.94,9.81,10.16,12.98,9.32,9.06,12.96,19.0,13.85,17.06,14.56
b_1,2.59,3.05,2.75,2.54,8.03,5.5,9.82,9.86,10.81,12.41,9.66,13.2,20.99,10.83,18.21,15.12
a_1,2.8,3.03,3.16,2.79,2.93,11.58,10.89,8.82,13.34,13.88,12.11,14.14,24.66,10.12,22.79,17.0
h_1,3.01,3.68,3.3,2.84,3.07,2.65,18.78,14.62,13.61,11.7,15.84,13.36,17.75,16.42,27.18,16.61
g_1,2.49,2.82,4.33,2.91,2.83,3.03,12.07,22.09,10.81,12.57,15.48,21.07,22.83,15.48,20.85,19.68
d_0,2.86,3.0,2.23,5.05,3.64,2.69,10.51,10.13,19.04,10.54,13.1,13.22,24.42,14.01,21.64,16.74
c_0,3.16,3.33,3.05,2.83,2.55,3.2,11.26,11.73,14.37,20.27,24.71,13.25,23.19,17.07,22.79,19.7
b_0,3.05,3.12,3.41,3.42,2.16,1.79,12.73,14.63,13.97,13.33,23.59,16.0,22.26,30.05,25.8,19.77
f_0,2.46,2.54,3.4,3.45,3.18,2.98,11.87,12.43,12.78,14.4,15.14,24.65,26.48,17.73,26.69,33.02
h_0,2.88,3.9,3.29,2.7,2.88,3.07,8.34,14.74,11.39,13.42,15.11,14.01,16.31,15.42,29.8,16.38
a_0,3.08,3.16,3.4,3.43,2.96,2.04,12.17,11.39,14.38,14.51,17.46,16.48,25.89,31.08,22.5,16.99
g_0,2.79,3.01,4.4,3.08,2.5,3.1,10.11,10.42,11.29,14.37,16.25,20.18,21.45,15.69,20.22,18.65
e_0,2.15,3.1,3.57,3.23,3.28,3.28,13.02,12.94,13.35,13.88,15.54,14.86,24.12,16.19,21.83,33.17
