,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.81,1.31,1.28,1.61,1.57,0.69,0.62,0.59,0.49,0.79,0.72,0.55,0.65,1.18,0.65
f_1,1.42,0.43,1.4,1.24,1.19,1.17,0.5,0.62,0.46,0.56,0.67,0.83,0.41,0.67,0.48,0.56
c_1,1.15,1.23,0.4,2.07,1.39,1.23,0.65,0.33,0.99,0.53,0.69,0.56,0.42,0.53,0.67,0.45
d_1,1.42,1.43,1.04,0.38,1.22,1.33,0.66,1.39,0.59,0.68,0.54,0.58,0.46,0.58,0.54,0.36
b_1,1.14,1.39,0.8,1.34,0.36,1.69,0.83,0.77,0.59,1.42,0.72,0.74,0.68,0.61,0.53,0.42
a_1,1.37,1.45,1.31,1.2,0.76,0.3,0.71,0.83,0.82,0.78,0.72,0.52,0.49,1.2,0.6,0.54
h_1,0.99,1.15,0.94,0.95,0.95,0.86,0.25,0.4,0.38,0.38,0.48,0.42,0.45,0.38,0.42,0.4
d_0,0.64,1.14,1.29,1.41,0.84,0.8,0.63,0.28,0.43,0.42,0.6,0.35,0.42,0.38,0.63,0.42
c_0,1.03,1.16,2.4,0.61,1.01,0.72,0.59,0.46,0.26,0.44,0.44,0.43,0.34,0.39,0.38,0.29
b_0,0.84,1.21,1.38,0.66,1.53,0.8,0.56,0.39,0.33,0.24,0.47,0.37,0.37,0.45,0.4,0.43
g_1,0.99,1.05,1.17,0.87,1.18,0.93,0.43,0.41,0.44,0.43,0.2,0.38,0.3,0.33,0.34,0.72
f_0,0.84,2.11,1.1,0.82,0.87,0.89,0.5,0.55,0.4,0.46,0.41,0.22,0.35,0.37,0.44,0.25
h_0,0.82,1.16,1.14,0.9,0.93,0.74,1.19,0.41,0.43,0.46,0.59,0.35,0.52,0.45,0.36,0.37
a_0,0.83,0.84,1.24,0.97,0.99,1.4,0.76,0.48,0.4,0.27,0.48,0.49,0.35,0.21,0.42,0.38
e_0,1.52,1.2,0.81,0.95,0.94,0.75,0.47,0.43,0.44,0.59,0.6,0.26,0.41,0.43,0.21,0.42
g_0,0.83,1.02,0.93,0.94,1.06,1.0,0.46,0.4,0.48,0.39,,0.44,0.3,0.39,0.43,0.56
