,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.06,1.43,1.57,1.86,3.43,18.01,28.91,29.14,37.58,42.18,49.59,58.42,75.88,83.22,102.15
d_1,0.92,1.0,1.09,1.29,1.65,3.03,18.69,21.3,35.79,31.19,46.29,48.82,55.3,77.59,87.44,82.21
e_1,0.71,0.9,1.0,1.48,1.73,3.2,19.69,26.41,25.98,41.69,36.64,53.07,57.73,72.87,92.81,114.21
c_1,0.63,0.79,0.68,1.0,1.61,2.42,13.32,18.16,19.71,18.35,26.73,34.45,43.42,54.85,61.0,79.34
b_1,0.52,0.63,0.58,0.62,1.0,2.73,11.99,14.65,17.63,18.04,21.73,29.22,34.71,40.71,51.44,57.76
a_1,0.29,0.34,0.31,0.41,0.38,1.0,6.41,8.92,7.96,9.55,14.27,15.24,19.77,21.74,28.87,31.4
h_1,0.06,0.05,0.05,0.07,0.09,0.15,1.0,1.48,1.34,1.64,1.89,2.43,3.22,3.59,4.39,5.72
g_1,0.03,0.05,0.04,0.06,0.07,0.11,0.68,1.0,1.03,1.15,1.48,2.16,2.05,3.21,3.36,3.99
c_0,0.03,0.03,0.04,0.05,0.06,0.12,0.75,0.91,1.0,1.44,1.87,1.68,2.27,3.07,3.16,3.48
d_0,0.03,0.03,0.02,0.06,0.06,0.1,0.58,0.89,0.66,1.0,1.07,1.67,1.86,2.38,2.75,3.53
b_0,0.02,0.02,0.03,0.04,0.05,0.08,0.51,0.68,0.56,0.91,1.0,1.24,1.52,2.66,2.25,2.6
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.4,0.46,0.56,0.61,0.81,1.0,1.34,1.54,2.32,1.79
h_0,0.02,0.02,0.02,0.02,0.03,0.05,0.31,0.51,0.44,0.55,0.66,0.76,1.0,1.2,1.46,1.97
a_0,0.01,0.01,0.01,0.02,0.02,0.05,0.28,0.34,0.34,0.41,0.4,0.65,0.89,1.0,1.19,1.44
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.22,0.28,0.3,0.36,0.44,0.43,0.7,0.82,1.0,1.06
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.25,0.29,0.27,0.39,0.53,0.51,0.77,0.96,1.0
