,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.1,3.46,3.62,3.17,2.98,2.92,0.72,0.55,0.65,0.63,1.13,0.6,0.39,0.53,0.56,0.29
f_1,3.03,1.1,2.82,3.47,2.84,3.0,0.66,1.01,0.68,0.63,0.74,0.79,0.39,0.61,0.61,0.5
e_1,3.32,1.8,1.11,3.64,3.15,2.85,1.03,1.15,0.76,0.69,0.67,0.88,0.54,0.72,1.32,0.58
c_1,4.48,3.82,2.66,1.11,3.61,3.01,1.03,1.09,0.95,0.67,0.37,0.61,0.5,0.75,0.66,0.46
b_1,3.94,4.45,3.83,2.06,1.12,4.63,1.33,1.26,1.12,1.18,0.77,0.79,0.64,0.84,0.77,0.54
a_1,5.49,5.05,5.79,5.13,2.66,1.13,1.66,1.56,1.1,1.41,1.39,1.17,0.89,1.86,1.16,0.79
h_1,11.2,10.98,11.33,11.49,11.69,9.81,1.65,3.42,2.41,2.13,2.27,2.51,1.86,2.25,2.45,1.64
g_1,12.14,16.27,13.31,13.66,14.66,12.03,2.81,1.64,2.77,2.62,2.71,2.51,1.45,2.6,2.23,2.45
c_0,7.69,17.07,14.8,20.95,14.97,13.82,4.0,3.25,1.87,3.03,3.5,3.03,2.05,3.09,2.81,2.08
b_0,11.81,16.35,16.83,20.4,20.22,12.52,4.08,4.6,1.86,1.96,3.5,2.81,2.2,2.77,2.91,2.19
d_0,21.37,15.68,8.92,16.85,23.68,14.89,5.61,5.97,3.57,2.89,2.07,3.39,2.35,3.41,4.28,2.58
f_0,17.24,27.16,19.29,17.13,17.99,19.53,5.16,3.3,3.48,3.55,3.5,2.07,2.36,3.28,4.02,1.62
h_0,18.93,25.18,20.43,23.85,20.83,17.03,9.29,5.31,3.97,3.9,4.39,4.01,3.88,3.87,3.38,3.31
a_0,21.24,23.46,24.18,23.32,23.08,24.19,5.93,6.88,3.93,2.67,4.93,4.95,3.28,2.16,3.94,3.92
e_0,20.73,33.49,33.01,24.81,23.68,21.08,6.48,5.16,4.66,4.36,4.63,2.2,2.62,4.53,2.09,2.89
g_0,24.19,32.85,29.34,28.71,24.3,26.28,5.65,10.46,5.49,5.98,6.18,5.3,3.05,5.07,4.57,5.25
