,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,0.81,0.84,0.94,0.92,0.86,0.21,0.26,0.17,0.19,0.17,0.24,0.09,0.16,0.15,0.18
e_1,0.6,0.43,0.99,0.99,0.95,0.83,0.26,0.3,0.19,0.21,0.19,0.25,0.13,0.2,0.15,0.25
d_1,1.01,1.18,0.41,0.92,0.77,0.73,0.25,0.18,0.19,0.27,0.21,0.18,0.13,0.18,0.08,0.16
c_1,0.97,0.77,1.14,0.4,1.02,0.98,0.28,0.25,0.26,0.12,0.21,0.19,0.14,0.19,0.14,0.18
b_1,1.25,1.12,1.18,0.64,0.36,0.99,0.3,0.3,0.33,0.2,0.34,0.22,0.19,0.22,0.19,0.23
a_1,1.51,1.37,1.32,1.27,0.64,0.31,0.39,0.35,0.3,0.28,0.39,0.24,0.19,0.34,0.19,0.22
h_1,1.79,1.73,1.69,1.73,1.62,1.53,0.29,0.49,0.33,0.4,0.35,0.33,0.29,0.31,0.25,0.34
g_1,2.09,1.92,1.81,1.89,1.94,1.85,0.41,0.26,0.44,0.42,0.39,0.41,0.23,0.38,0.3,0.43
c_0,2.46,2.31,1.2,2.85,2.01,1.79,0.59,0.57,0.29,0.58,0.44,0.39,0.28,0.39,0.23,0.36
d_0,1.94,1.31,2.55,2.25,1.91,1.93,0.63,0.69,0.48,0.3,0.43,0.44,0.31,0.39,0.31,0.4
b_0,2.21,2.09,1.58,2.99,2.31,1.72,0.57,0.62,0.25,0.53,0.29,0.43,0.27,0.52,0.27,0.34
f_0,2.94,2.28,1.99,2.03,2.3,1.86,0.59,0.45,0.38,0.43,0.43,0.27,0.3,0.4,0.2,0.37
h_0,2.54,2.43,2.31,2.53,2.28,2.03,0.83,0.68,0.47,0.54,0.42,0.53,0.46,0.45,0.33,0.41
a_0,2.67,2.38,2.24,2.49,3.21,2.91,0.73,0.67,0.45,0.63,0.3,0.53,0.34,0.28,0.33,0.52
g_0,3.12,2.9,2.61,3.03,2.28,1.92,0.57,0.98,0.48,0.67,0.53,0.59,0.3,0.55,0.42,0.5
e_0,3.5,3.51,2.41,2.52,2.63,2.32,0.74,0.61,0.49,0.58,0.49,0.28,0.4,0.5,0.38,0.25
