,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.4,0.63,0.62,0.6,0.57,0.52,0.31,0.25,0.3,0.31,0.3,0.25,0.26,0.21,0.25,0.19
f_1,0.55,0.4,0.67,0.62,0.57,0.52,0.26,0.36,0.24,0.3,0.24,0.29,0.24,0.19,0.23,0.23
e_1,0.62,0.43,0.39,0.68,0.6,0.59,0.35,0.3,0.29,0.34,0.3,0.32,0.3,0.21,0.33,0.25
c_1,0.73,0.61,0.49,0.38,0.64,0.57,0.34,0.31,0.29,0.17,0.25,0.26,0.24,0.25,0.27,0.23
b_1,0.67,0.61,0.58,0.4,0.37,0.7,0.33,0.35,0.31,0.27,0.33,0.28,0.25,0.25,0.29,0.25
a_1,0.61,0.64,0.6,0.61,0.38,0.3,0.35,0.37,0.28,0.33,0.34,0.29,0.37,0.26,0.27,0.23
h_1,0.53,0.65,0.55,0.56,0.55,0.56,0.23,0.32,0.23,0.26,0.24,0.23,0.25,0.24,0.23,0.22
g_1,0.58,0.58,0.58,0.64,0.53,0.47,0.27,0.21,0.25,0.27,0.26,0.26,0.25,0.18,0.24,0.25
c_0,0.41,0.65,0.55,0.71,0.63,0.57,0.33,0.29,0.22,0.35,0.32,0.25,0.29,0.21,0.26,0.22
d_0,0.71,0.56,0.38,0.68,0.59,0.55,0.34,0.33,0.25,0.22,0.25,0.27,0.26,0.22,0.27,0.23
b_0,0.46,0.65,0.51,0.66,0.7,0.48,0.32,0.3,0.18,0.27,0.21,0.26,0.33,0.24,0.24,0.22
f_0,0.56,0.73,0.52,0.56,0.55,0.52,0.31,0.24,0.25,0.26,0.25,0.21,0.24,0.23,0.27,0.17
a_0,0.57,0.59,0.53,0.63,0.67,0.57,0.32,0.32,0.22,0.25,0.17,0.24,0.19,0.21,0.21,0.2
h_0,0.58,0.6,0.58,0.51,0.52,0.47,0.35,0.34,0.27,0.26,0.24,0.25,0.24,0.24,0.25,0.23
e_0,0.51,0.81,0.6,0.57,0.55,0.48,0.29,0.29,0.24,0.26,0.23,0.16,0.24,0.21,0.18,0.18
g_0,0.58,0.62,0.53,0.54,0.53,0.58,0.27,0.36,0.26,0.24,0.24,0.25,0.26,0.19,0.25,0.22
