,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.1,1.76,3.12,3.11,2.8,2.99,0.83,0.64,0.65,0.88,0.7,0.9,0.46,0.62,0.48,1.05
f_1,2.8,1.11,2.7,2.86,2.81,2.66,0.62,0.6,0.59,0.96,0.57,0.83,0.34,0.53,0.44,0.53
d_1,3.42,2.97,1.09,3.37,3.11,2.48,0.78,0.99,0.55,0.51,0.59,0.53,0.4,0.56,0.27,0.47
c_1,2.77,3.58,4.44,1.11,2.82,3.2,1.04,0.4,0.99,0.97,0.71,0.67,0.5,0.71,0.53,0.65
b_1,4.32,4.66,4.69,2.35,1.12,4.16,1.5,0.95,1.16,1.44,1.43,0.82,0.62,0.94,0.58,0.72
a_1,5.97,7.06,6.86,5.71,3.62,1.13,2.29,1.36,1.58,2.22,1.89,1.38,0.97,2.2,0.91,1.12
h_1,10.69,10.97,10.34,11.62,10.9,9.96,1.61,2.37,2.23,3.54,2.17,2.01,2.22,2.31,1.67,1.72
d_0,8.66,12.14,18.9,15.42,14.1,14.81,4.8,2.02,3.0,4.57,3.31,3.37,2.46,2.65,2.44,3.36
c_0,14.61,14.4,8.06,27.02,15.45,12.29,4.28,3.51,1.92,3.25,2.78,2.86,2.02,2.65,2.16,2.72
g_1,13.75,14.12,12.57,16.99,17.19,14.69,3.34,3.17,2.78,1.71,2.87,2.74,1.55,2.59,2.64,2.76
b_0,14.96,15.92,12.23,20.8,30.53,13.98,4.15,3.32,1.77,4.14,1.92,2.86,2.29,2.56,2.12,2.55
f_0,18.07,24.2,16.33,19.39,19.08,21.4,5.4,4.01,3.69,3.58,3.59,2.02,3.06,3.56,1.76,3.32
h_0,22.0,23.57,20.86,23.77,21.45,17.16,8.15,4.79,3.83,5.61,4.36,4.08,3.92,4.82,3.0,3.87
a_0,22.4,23.57,22.56,26.12,32.04,36.1,7.85,4.82,4.11,6.25,2.81,4.48,3.88,2.3,4.5,4.77
g_0,25.27,25.93,24.39,26.56,28.21,23.11,5.8,5.64,4.93,7.52,5.46,4.6,3.15,4.76,4.92,4.51
e_0,36.67,40.33,21.87,28.22,26.21,29.88,7.71,6.94,5.9,7.04,5.22,2.58,4.44,5.08,3.13,2.59
