,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.43,2.0,1.72,2.48,1.9,1.72,0.41,0.59,0.42,0.44,0.34,0.83,0.35,0.2,0.38,0.36
e_1,1.17,0.43,2.1,2.0,2.58,2.21,0.66,0.8,0.46,0.46,0.44,0.53,0.57,0.36,1.54,0.33
d_1,2.14,2.74,0.42,2.12,1.76,1.84,0.49,0.37,0.37,1.17,0.4,0.35,0.32,0.26,0.38,0.17
c_1,2.12,1.77,2.43,0.42,1.92,2.06,0.62,0.53,1.08,0.25,0.45,0.39,0.4,0.33,0.36,0.32
b_1,2.71,1.99,2.43,1.08,0.4,2.63,0.71,0.85,0.63,0.51,1.12,0.45,0.47,0.39,0.62,0.38
a_1,2.45,2.89,2.46,3.14,1.71,0.33,1.18,0.99,0.5,0.58,0.8,0.54,1.59,0.42,0.61,0.39
h_1,3.74,3.19,2.84,4.11,4.07,3.09,0.32,1.16,0.59,0.59,0.74,0.62,0.62,0.87,0.58,0.44
g_1,4.21,4.22,3.36,5.12,4.11,3.22,0.77,0.3,0.74,0.81,0.77,0.59,0.71,0.32,0.68,0.94
c_0,4.32,4.12,2.0,9.69,3.82,2.87,0.93,1.43,0.37,1.09,0.75,0.7,0.75,0.56,0.91,0.58
d_0,3.92,2.0,8.74,4.0,3.68,3.48,1.07,1.43,0.83,0.38,0.91,0.8,0.82,0.59,0.71,0.74
b_0,4.25,3.42,3.15,6.49,8.27,4.03,1.14,1.0,0.43,0.93,0.36,0.81,0.8,0.54,0.8,0.51
f_0,7.78,4.12,3.38,5.39,3.96,4.37,1.28,0.74,0.79,0.99,0.73,0.36,0.78,0.72,0.82,0.46
a_0,5.18,4.49,3.84,5.11,6.33,8.48,1.49,1.39,0.74,0.99,0.46,0.89,0.34,0.76,0.89,0.63
h_0,5.22,4.52,4.15,4.86,3.99,4.22,2.25,1.28,0.9,1.05,0.86,0.82,0.82,1.16,0.92,0.74
e_0,8.47,8.1,4.19,5.66,4.18,3.79,1.3,1.11,1.07,1.28,1.09,0.45,0.87,0.55,0.29,0.55
g_0,5.68,5.12,4.87,5.36,4.71,4.13,1.04,2.75,1.13,1.13,0.98,1.1,1.12,0.57,0.81,1.29
