,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,11133.97,4462.92,3726.08,4169.62,4964.67,26248.18,2259572.1,9145732.06,8255058.1,12303306.79,7748474.81,20283467.05,64812316.6,144738972.63,68866866.57,255746880.87
e_1,2476.94,11179.99,2868.1,5041.06,6705.91,34444.29,2655992.18,20245451.72,8520686.37,12755178.98,23229764.43,22764546.23,100904537.6,138900927.42,39655018.06,225128544.17
d_1,2574.83,2939.32,17863.27,2964.18,4615.1,35955.14,2572017.56,4508198.61,8306551.3,25234118.22,23549886.97,27406216.21,86677113.14,128761051.19,120336163.45,261033798.21
c_1,2441.44,1913.33,3224.48,21467.54,11279.09,30350.83,2466834.59,11760446.63,7350689.31,4121082.35,22194337.5,17488681.12,87100576.54,130409352.07,111355544.99,300581379.18
b_1,2795.89,1897.43,3917.17,3948.57,34612.67,62369.3,2358996.55,9404032.23,8253028.55,10228307.69,25209407.81,7392592.79,80242841.73,122795942.44,107304499.4,231906263.55
a_1,2870.13,2322.04,3572.43,4412.63,6206.62,281338.35,2695252.1,11194113.55,8165794.07,12155769.2,21464767.56,24404621.86,46370249.62,111494573.47,95672011.55,213178128.1
h_1,3926.13,2722.13,4836.15,5205.32,6777.23,33920.49,8392872.07,11179784.34,15132520.1,16478141.85,23563770.59,24035733.13,105304229.12,98564416.8,93709359.21,423941157.46
d_0,3023.73,2660.37,2240.22,11104.68,7146.37,25774.71,3314878.57,25312719.25,9636629.71,11645754.17,24185356.86,29028663.2,108782747.19,168216604.67,117846618.4,365753155.45
g_1,2184.06,2774.03,7672.46,4110.47,6825.59,40919.63,3022191.18,10549546.65,36329375.69,12536285.92,34829568.2,28721864.86,111562080.24,167866957.2,122347116.54,199182806.81
c_0,3812.49,2815.25,4580.42,2648.29,5895.32,39856.27,3763495.49,12017635.79,12445722.55,33555343.56,32774190.81,56365475.19,167462004.48,176747399.21,138741424.85,339836997.56
f_0,1847.89,2560.53,5198.28,6446.63,7113.12,40593.33,3395705.84,13750512.54,11850259.75,17466040.04,62531010.07,33230509.99,146309336.93,186485294.78,281051467.62,313588913.72
b_0,3511.91,2893.38,5371.67,5386.74,4673.39,19823.72,3520818.87,11914321.1,10470359.37,16697146.98,30893134.18,66821568.01,280557379.56,176467735.6,115754089.28,318914143.76
a_0,3052.89,3005.79,5756.45,5040.38,7751.96,10638.45,3668805.91,11831875.96,11824132.43,15960271.76,32710296.45,25400817.07,300122109.43,174704177.96,133796380.89,340796260.4
h_0,4165.85,2867.74,5441.29,6193.97,6709.83,35458.72,1735305.56,12399563.92,12595703.51,15471992.54,24529317.65,26383268.5,105097992.87,75766038.65,127600293.47,430545216.41
e_0,2668.64,1570.75,5056.89,6416.31,8746.84,49410.89,3218203.03,11785572.86,10890486.65,15299611.48,27636298.18,26794436.33,135053567.08,176525030.32,356980659.29,312325008.56
g_0,2384.79,2892.76,7215.91,5487.56,5560.11,38963.99,3475853.73,11454876.41,6233057.98,13947918.86,50254763.75,24653491.15,114014377.24,157941289.04,142198354.75,175584527.72
