,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.28,1.12,1.53,2.14,3.26,16.4,28.25,35.18,29.14,57.24,58.56,82.71,87.91,90.67,166.02
e_1,0.79,1.0,1.12,1.55,1.65,3.94,20.97,39.53,33.37,36.09,46.21,79.93,100.5,147.56,113.15,166.4
d_1,0.89,0.89,1.0,0.94,1.42,2.86,14.75,25.46,20.74,36.11,45.18,51.46,86.08,95.91,91.49,95.01
c_1,0.65,0.64,1.07,1.0,1.87,2.38,14.02,15.58,21.37,19.47,35.58,52.16,76.05,74.25,72.28,105.11
b_1,0.47,0.61,0.71,0.53,1.0,3.0,10.71,15.22,15.66,16.93,30.09,30.5,43.99,40.03,43.63,72.54
a_1,0.3,0.25,0.35,0.43,0.33,1.0,5.41,7.86,8.39,9.51,17.68,23.58,25.9,35.72,39.27,49.45
h_1,0.06,0.05,0.07,0.07,0.09,0.17,1.0,1.53,2.32,1.69,2.78,3.7,5.26,6.02,5.34,8.86
d_0,0.03,0.03,0.04,0.07,0.07,0.13,0.66,1.0,0.99,1.08,1.67,2.57,3.25,3.71,3.52,5.86
g_1,0.03,0.03,0.05,0.05,0.06,0.11,0.43,0.97,1.0,0.85,1.73,2.85,2.67,3.18,3.77,4.45
c_0,0.03,0.03,0.03,0.05,0.06,0.1,0.61,0.98,1.22,1.0,2.2,2.22,3.02,3.15,3.74,4.74
b_0,0.02,0.02,0.02,0.03,0.04,0.05,0.37,0.57,0.59,0.45,1.0,1.43,1.62,2.05,3.0,2.5
f_0,0.02,0.01,0.02,0.02,0.03,0.04,0.27,0.39,0.35,0.46,0.72,1.0,1.41,2.0,1.43,1.74
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.3,0.38,0.33,0.57,0.67,1.0,1.09,1.21,1.84
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.27,0.31,0.31,0.48,0.47,0.85,1.0,0.93,1.9
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.19,0.29,0.28,0.27,0.35,0.65,0.84,1.09,1.0,1.3
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.18,0.24,0.21,0.36,0.59,0.56,0.6,0.76,1.0
