,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,3.7,3.16,3.94,3.62,3.58,1.32,1.81,2.42,1.65,1.41,,1.12,1.47,1.32,2.08
e_1,2.76,0.42,3.29,3.35,3.25,3.54,1.68,2.54,1.61,1.61,1.33,1.87,1.3,1.41,1.85,
d_1,3.91,4.54,0.4,3.22,4.0,3.2,1.94,,1.18,2.1,1.29,1.47,1.02,2.21,0.97,1.88
c_1,3.15,4.09,4.83,0.39,3.8,3.58,1.65,0.89,2.81,,1.61,1.57,1.62,1.87,1.12,1.4
b_1,3.85,4.0,3.6,2.26,0.37,6.19,2.02,1.69,1.9,1.83,,1.62,1.1,1.37,1.35,1.2
a_1,4.17,3.7,4.09,4.3,1.79,0.3,,1.42,,1.13,1.94,1.55,1.64,,1.1,
h_1,1.93,2.11,1.69,2.12,1.75,,0.26,0.69,1.07,0.87,0.82,0.64,,0.79,0.66,0.94
d_0,1.44,0.82,,2.06,1.29,1.48,0.92,0.29,1.22,0.75,0.77,0.94,0.54,0.61,0.83,0.8
g_1,1.59,2.04,2.52,1.51,1.82,,0.75,0.76,0.23,0.71,0.95,1.04,0.66,0.84,,0.84
c_0,1.65,1.7,0.87,,1.57,2.1,1.09,0.77,0.79,0.27,0.79,0.67,0.7,0.73,0.71,0.62
b_0,2.08,1.73,1.48,1.98,,1.43,0.85,0.77,0.78,0.5,0.28,0.53,0.61,0.89,0.46,0.58
f_0,,1.72,2.14,1.24,1.86,1.65,0.92,0.6,0.52,0.67,0.89,0.26,0.68,0.72,0.43,0.82
h_0,1.17,1.17,1.47,1.33,1.65,1.02,,0.7,0.61,0.56,0.55,0.55,,0.56,0.44,0.52
a_0,1.53,2.47,1.29,1.32,2.16,,0.89,0.96,0.84,0.73,0.4,0.72,0.62,0.22,0.78,
g_0,1.32,1.03,1.48,1.44,1.29,1.49,0.6,0.52,,0.54,0.86,0.81,0.42,0.48,,
e_0,1.69,,1.65,1.63,1.88,,0.67,0.55,0.91,0.93,0.72,0.44,0.55,,,0.21
